 	ho	scritto	una	lettera	al	mio	fratello	</S>
a46	0.1120218	0.026777709	0.003932423	0.0013064252	0.011382576	0.20510016	0.4213016	0.21817729
a31	0.7213979	0.19066721	0.004951753	0.001452477	0.0011721983	0.005211336	0.008025498	0.06712154
a13	0.9205855	0.052783847	0.0071691987	4.3922922e-05	0.0004801339	0.002876938	0.013409905	0.002650582
a20	0.7342462	0.20750123	0.01490245	0.0003018067	1.8640296e-05	0.00036390516	0.001036784	0.04162903
a15	0.44842386	0.50126296	0.02450869	7.036769e-05	2.8277012e-05	0.0003009877	0.00062754954	0.024777355
a20	0.59646857	0.34990293	0.002169063	0.00018404756	0.0019449366	0.005881983	0.0055058077	0.037942678
a31	0.81543404	0.10160176	0.0015985036	0.0005534543	0.008264596	0.0263908	0.0235088	0.022648137
a39	0.50306964	0.42701116	0.002219555	0.00059143413	0.01741819	0.03028039	0.008078109	0.011331433
a31	0.5757306	0.29042855	0.03594386	0.012566349	0.019427462	0.03763451	0.018612782	0.009655981
a20	0.8659716	0.045654763	0.0013844726	0.0016066721	0.019139417	0.02704666	0.029055875	0.010140506
a31	0.38677356	0.14311428	0.09438839	0.045283206	0.070558384	0.082331255	0.10942418	0.06812676
a7	0.8229619	0.013421236	0.002599841	0.0056387703	0.0261529	0.030572513	0.080708556	0.017944258
a46	0.086406805	0.079309486	0.088459924	0.1512304	0.19856466	0.07362513	0.16125928	0.16114429
a39	0.26922137	0.122450575	0.06499742	0.05103769	0.08852396	0.09320383	0.19198154	0.118583605
a31	0.12892821	0.11515772	0.08109454	0.092392504	0.12747017	0.090866275	0.17734547	0.18674517
a46	0.30002472	0.08385862	0.064676695	0.07797437	0.11068957	0.079049565	0.14447853	0.13924795
a0	0.16240145	0.14763205	0.094845265	0.09706612	0.1180767	0.09804149	0.13576579	0.14617114
a27	0.13990127	0.13780324	0.11452172	0.11454684	0.12236713	0.11621851	0.12585214	0.12878922
a20	0.16977964	0.17834409	0.108927466	0.10488828	0.117893085	0.10873795	0.10654004	0.10488948
a0	0.20805594	0.21047232	0.101056814	0.09155322	0.1044807	0.09966348	0.09409619	0.09062131
a14	0.19334024	0.18672247	0.105061956	0.09909079	0.11190187	0.106382325	0.10126591	0.09623444
a0	0.18073156	0.15498587	0.10566619	0.10208637	0.11109178	0.10795886	0.11877809	0.11870131
a46	0.24351993	0.1457014	0.09827841	0.095686994	0.106050886	0.10661633	0.10730384	0.09684226
a20	0.27982068	0.16148081	0.092379145	0.08658856	0.096518435	0.09742436	0.096498735	0.089289315
</S>	0.25159195	0.13713484	0.09918834	0.09661089	0.1041251	0.106003344	0.10692912	0.098416455
