 	cosa	fa	Anna	il	sabato	mattina	</S>
a46	0.3921634	0.10280503	0.033866342	0.20651925	0.11406164	0.059914198	0.09067011
a31	0.048242696	0.66860706	0.18193725	0.051022157	0.0010652058	0.008854546	0.040271174
a6	0.07383684	0.029067153	0.07597926	0.3389864	0.011690174	0.44618115	0.024259036
a31	0.06572883	0.45490208	0.2617833	0.17996238	0.0016730762	0.0072005857	0.028749796
a37	0.0140102	0.5078885	0.3093851	0.1589288	0.0021271799	0.002273908	0.0053863376
a31	0.19379526	0.4354983	0.11486114	0.1017571	0.0040343087	0.0028623266	0.14719154
a17	0.106249884	0.30865592	0.14739817	0.37996113	0.0069621284	0.006785827	0.043986987
a31	0.028500775	0.15692659	0.064749815	0.07599083	0.022110775	0.033674	0.6180471
a17	0.038077764	0.052631874	0.039275173	0.47383147	0.0028826867	0.053957183	0.33934394
a31	0.008557267	0.07524204	0.045571625	0.12991883	0.015243315	0.17428654	0.5511804
a8	0.008693397	0.06665729	0.10858578	0.49368235	0.0037138578	0.03690547	0.28176185
a31	0.03887286	0.19115944	0.09292409	0.13642046	0.015576221	0.2260405	0.2990064
a28	0.017897272	0.044756133	0.22681792	0.1899481	0.010939986	0.17843632	0.33120427
a0	0.038381673	0.081192344	0.04460478	0.09192597	0.045272563	0.24557725	0.45304546
a41	0.116289735	0.25169733	0.04317868	0.0580522	0.028408643	0.2294862	0.27288726
a39	0.11518145	0.256334	0.08529929	0.09974172	0.06355927	0.27549553	0.10438875
a31	0.16836146	0.20138201	0.07579475	0.11929464	0.08996523	0.2391311	0.10607088
a39	0.16415048	0.12818724	0.12514186	0.119394794	0.106067635	0.23512752	0.12193044
a31	0.08564731	0.20092225	0.103419594	0.09157	0.076406494	0.3413327	0.100701645
a18	0.13859382	0.13474493	0.13696556	0.1303514	0.11781681	0.21437189	0.12715562
a31	0.11388123	0.15267126	0.11449651	0.113937505	0.10479392	0.28301483	0.117204785
a18	0.17377613	0.13490479	0.13625285	0.1342436	0.1293115	0.15801416	0.13349698
a31	0.1327546	0.14403532	0.13102463	0.13243972	0.12760335	0.1978864	0.13425593
a39	0.199855	0.13227384	0.13326831	0.13373862	0.13119592	0.13746986	0.13219842
a41	0.13292934	0.14388695	0.13330333	0.1329382	0.13007908	0.19249907	0.13436396
a8	0.14346418	0.14366105	0.14028926	0.14038268	0.13943774	0.15251334	0.1402518
a31	0.14508855	0.14376162	0.13969406	0.14165731	0.13951698	0.14942487	0.14085658
a46	0.2126267	0.13113324	0.1312003	0.13273495	0.13174294	0.13037013	0.1301917
a8	0.14194593	0.14296076	0.14001313	0.14131057	0.13939519	0.15241739	0.14195703
</S>	0.1436877	0.14339638	0.14073956	0.14155962	0.14027405	0.14926799	0.14107472
