 	mi	si	gonfiò	il	dito	</S>
a31	0.74983084	0.015819164	0.0060744407	0.05569536	0.047057007	0.12552316
a11	0.6643756	0.24098672	0.02944569	0.025133792	0.00027078603	0.039787382
a31	0.21678041	0.027413933	0.030533202	0.6683636	0.0046949205	0.052213877
a15	0.5466681	0.1039597	0.07106135	0.06578673	0.00946696	0.20305713
a31	0.016081562	0.038679816	0.0021705492	0.0667351	0.12704837	0.74928457
a0	0.2612451	0.05952066	0.019580325	0.034090087	0.009957255	0.6156066
a46	0.103592664	0.039043244	0.07098003	0.01808504	0.2468713	0.5214277
a31	0.18816687	0.04790841	0.13826066	0.024722502	0.36443233	0.23650916
a18	0.16210544	0.12862203	0.3578648	0.13337737	0.15085728	0.06717312
a31	0.1480028	0.10825226	0.09309314	0.029828342	0.1470147	0.47380868
a24	0.104191035	0.086119615	0.40513414	0.123379715	0.19219486	0.08898054
a28	0.22048788	0.12747942	0.13460658	0.04158464	0.11765455	0.35818696
a13	0.17610107	0.19262137	0.3467664	0.15629986	0.05974477	0.0684665
a20	0.15802364	0.14285235	0.4044105	0.10897232	0.0808639	0.10487725
a17	0.13443795	0.13350552	0.37997743	0.1255487	0.11016585	0.116364546
a39	0.16825919	0.15244533	0.23822309	0.13939868	0.14346611	0.15820755
a20	0.17272791	0.16305585	0.19313456	0.15496732	0.15590209	0.16021223
a31	0.17181373	0.16372082	0.18365052	0.1570954	0.15876056	0.16495895
a41	0.17179741	0.16185082	0.16641079	0.16399248	0.17076278	0.1651857
a8	0.17168172	0.1640309	0.17504413	0.1582617	0.16184768	0.16913389
a37	0.17104015	0.16562863	0.17082432	0.16128193	0.16278297	0.16844206
a8	0.16857672	0.16620234	0.16982727	0.16430081	0.16487026	0.16622263
</S>	0.16987993	0.1657359	0.16912922	0.16243173	0.16373724	0.16908601
