 	io	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
a23	0.31942603	0.2757135	0.12970312	0.005570028	0.0014804243	0.010725376	0.031298008	0.04315777	0.052770603	0.08662235	0.043532785
a31	0.21621016	0.08582507	0.22425762	0.074420154	3.6809364e-05	0.0031579095	0.0012820675	0.0017487431	0.016526137	0.030530985	0.34600446
a20	0.10934918	0.46036232	0.30082256	0.035011746	0.00016116779	0.0053758603	0.002226845	0.016480563	0.03618415	0.0024622895	0.031563267
a31	0.4479565	0.2724266	0.17589872	0.01715227	5.7886067e-05	0.0026654408	0.000119271994	0.00018606115	0.0012905422	0.0024871249	0.07975957
a7	0.09014567	0.53761363	0.28447694	0.037648182	0.00016954627	0.016870106	0.0006135224	0.009176645	0.008597106	0.00047656888	0.014212151
a31	0.5380855	0.029806089	0.18851651	0.047899228	7.9217614e-05	0.0014776763	0.00045172605	0.00031825632	0.010212227	0.037466	0.14568754
a24	0.039847348	0.2699129	0.6313568	0.03507198	8.131414e-06	0.005809548	0.0005252242	0.007546801	0.004865931	0.00043908026	0.0046163783
a37	0.09091516	0.03657117	0.06652193	0.11811648	0.0008892488	0.007283371	0.011475465	0.045497764	0.21943186	0.06325649	0.340041
a31	0.112246886	0.015119334	0.010522483	0.0052086143	0.00048397508	0.0006989409	0.0032916898	0.10196401	0.29215756	0.07869061	0.37961587
a11	0.73586553	0.027651846	0.018306794	0.0048561217	0.00019514465	0.0011648668	0.0029166408	0.017026745	0.08471646	0.0861067	0.021193078
a31	0.27986437	0.11218905	0.16047397	0.038192544	0.007684334	0.013483726	0.02064483	0.09972916	0.123430796	0.08675104	0.057556108
a3	0.7971395	0.028760709	0.01866077	0.0040091826	0.00078435935	0.001877694	0.0037607586	0.045205113	0.05465157	0.025921656	0.019228648
a27	0.18288903	0.09669281	0.08675609	0.032790698	0.025289439	0.034157403	0.07025708	0.13613963	0.17166029	0.12543686	0.037930652
a20	0.20439602	0.1017283	0.11702559	0.046940167	0.031943686	0.037656236	0.04670208	0.15319274	0.13863298	0.07579455	0.045987677
a31	0.1789429	0.1137721	0.08790839	0.0417276	0.04821882	0.055408977	0.08919419	0.081324615	0.100946955	0.14867577	0.05387967
a20	0.695903	0.043558523	0.03606283	0.020751765	0.020410877	0.021810472	0.027809955	0.04246404	0.030212246	0.034599684	0.02641666
a11	0.117438294	0.09989431	0.08392584	0.06814045	0.06951794	0.07209046	0.09106329	0.08584861	0.09629471	0.14062817	0.075157925
a13	0.11613191	0.09885922	0.09157085	0.08230195	0.080598876	0.08265229	0.08937032	0.09379998	0.09140002	0.09142338	0.08189123
a28	0.1139565	0.09952647	0.095745265	0.0864828	0.082282305	0.08413001	0.08589543	0.08926431	0.088778876	0.09053834	0.08339971
a31	0.11588235	0.11840572	0.11102968	0.087826006	0.0758025	0.08009333	0.08033308	0.085379824	0.084630765	0.08455106	0.07606566
a39	0.16341238	0.087226935	0.08576247	0.07967319	0.0786546	0.079163164	0.08095441	0.08539326	0.08430042	0.09374788	0.08171129
a31	0.104858845	0.09752485	0.0961727	0.08891077	0.08459332	0.08583309	0.08532122	0.08613797	0.088497944	0.096463144	0.0856862
a8	0.15380639	0.08619269	0.08547986	0.0828308	0.08212838	0.08239638	0.08279447	0.084252276	0.08495892	0.09138296	0.083776824
</S>	0.12067404	0.08503509	0.08375492	0.08134932	0.08141312	0.08114182	0.08356997	0.08124171	0.090704836	0.1251754	0.08593971
