 	non	sapeva	dove	a	stare	</S>
a20	0.017100649	0.017552469	0.0030295614	0.0038030099	0.73574513	0.22276911
a31	0.008799018	0.008958298	0.73834074	0.0063315756	0.04625658	0.19131376
a37	0.16066203	0.115268484	0.4285857	0.034610175	0.12719089	0.13368268
a38	0.014113365	0.05647955	0.026872814	0.015031445	0.7416564	0.14584637
a31	0.003552113	0.0039998065	0.32841167	0.09079693	0.016023688	0.55721575
a41	0.0055184816	0.01741991	0.13336994	0.031496234	0.015026945	0.7971685
a10	0.001724987	0.006705241	0.027388457	0.031924427	0.033051156	0.8992058
a20	0.0042405217	0.007879418	0.009994317	0.02294574	0.08108853	0.8738515
a9	0.006839259	0.026647855	0.025482763	0.06738214	0.071058095	0.80258983
</S>	0.022216992	0.06954344	0.06587356	0.20658816	0.08575586	0.55002195
