 	l	ho	sentito	che	veniva	</S>
o	0.469143484419	0.13686527193	0.200864929035	0.0069244974337	0.0089004862734	0.177301339549
n	0.324059384171	0.19163851097	0.276377435704	0.0755446579312	0.0584803849557	0.0738996357906
ì	0.170428372405	0.279192227623	0.330455363715	0.105195426837	0.0762224557226	0.0385061568036
k	0.123169905422	0.329814947294	0.337851189718	0.102843634466	0.0597186841832	0.0466016470804
u	0.154773985225	0.409998357298	0.208425960806	0.115731043155	0.0596191242248	0.0514515400985
s	0.111609605561	0.411317569433	0.172120547222	0.242488904585	0.0407922999289	0.0216710722736
a	0.0476550038552	0.255736634238	0.213098802313	0.428164188195	0.0417152885979	0.0136300728779
k	0.0189723841613	0.167470605039	0.227692379343	0.419603235732	0.130443336561	0.035818052748
a	0.0105069031937	0.090729202413	0.166205876086	0.394102464911	0.27663563652	0.061819927356
è	0.00615975326451	0.0648963140347	0.0945136028893	0.35026366903	0.418270161507	0.065896502252
r	0.00825946584222	0.0499403433086	0.0887937715184	0.290718334037	0.444008321149	0.118279753477
k	0.0175393939827	0.0313284419389	0.154200072906	0.282111641646	0.336421335342	0.178399098732
a	0.0221728059384	0.0241100442891	0.146571562824	0.199311930869	0.362319359093	0.24551428089
t	0.0497205792967	0.031431943816	0.0686845177577	0.149337278943	0.457479526564	0.243346152363
o	0.0516687023209	0.0282606139308	0.0406241309964	0.132328107965	0.398629369055	0.348489089521
</S>	0.0263339241979	0.0180278364844	0.0231283998717	0.0964445539585	0.321546265527	0.514519037761
