 	questo	muro	vuole	uno	specchio	</S>
c	0.534447284142	0.130948501472	0.175346864633	0.0346974374243	0.00193673387696	0.122623157257
ì	0.538250399314	0.185812668467	0.193273100069	0.0347069509283	0.000898985898364	0.0470578819179
t	0.593254380705	0.150059624287	0.170655682736	0.0362348654412	0.00512578601153	0.0446696547815
t	0.553401706702	0.0969172132363	0.177518410959	0.0666225422328	0.00871561642115	0.0968245015763
o	0.519050334414	0.133875649259	0.19160277532	0.0605200456029	0.00512271387666	0.089828478286
t	0.339380065318	0.219245178193	0.26217230624	0.0478176382896	0.0934259276964	0.0379588866418
ì	0.172484236196	0.370321316371	0.239344648213	0.0398798942025	0.123796585731	0.0541733327299
c	0.0968286895247	0.430595489064	0.206782138671	0.0902211709462	0.114372203974	0.0612003223827
h	0.08507965154	0.293878672275	0.236553095357	0.183733251249	0.111672244937	0.0890831010986
o	0.0869907192315	0.237817026258	0.339450967452	0.182524285216	0.041741055417	0.111475969686
t	0.0419668845234	0.179049245706	0.421909354484	0.124543008805	0.173085930362	0.0594455864471
è	0.02370872634	0.131399874175	0.435499530161	0.137531023068	0.218927575821	0.0529332703682
l	0.0617990078416	0.165428938758	0.387052565654	0.201386965423	0.124157254754	0.0601752675347
i	0.0741649021294	0.156037981438	0.317305396391	0.278766503941	0.117677731858	0.0560475077369
è	0.0401470200922	0.0986623591443	0.228206659037	0.36363217318	0.179643977166	0.0897078314256
n	0.022122732696	0.0424508772048	0.123408402912	0.376820221793	0.351491134655	0.0837066267619
a	0.011919454517	0.0641267362746	0.106039703415	0.341732558931	0.379118404378	0.0970631293873
n	0.00855552725855	0.0674382222383	0.079382014583	0.299593016757	0.434702753619	0.110328462222
j	0.0643156585898	0.0319698141185	0.0437583471477	0.264063532766	0.454560528606	0.141332125767
a	0.0849426968541	0.0356951427009	0.0477426959752	0.207414219195	0.319711702269	0.304493535949
l	0.0340995781582	0.0492787323457	0.0666227109244	0.194067075005	0.370721794756	0.285210106843
ì	0.0143051813183	0.0399950328006	0.0564257973461	0.153816985135	0.385743475852	0.349713527141
</S>	0.00787050124748	0.0234716428704	0.0325258181401	0.0810622143675	0.319475601326	0.535594211571
