 	deve	che	entra	da	qui	</S>
è	0.480019553765	0.224732692825	0.126523640082	0.0195485520675	0.0180277473455	0.131147788673
n	0.339713455299	0.280026189575	0.237319889076	0.0829018294141	0.0128053804643	0.0472332253204
g	0.213275913777	0.386731553592	0.244961395752	0.12517856608	0.00875589465827	0.0210966245091
h	0.157442929859	0.563093430531	0.181061419408	0.0707955353461	0.00395788067716	0.0236487515377
i	0.159296217547	0.57180985871	0.199613808233	0.040227929351	0.00435228139038	0.0246998681712
s	0.0969545977113	0.517281961037	0.280140761344	0.079575242919	0.014942472946	0.0111049604415
e	0.0401802120616	0.410598615279	0.376099180581	0.142365957528	0.0204673896107	0.0102886441711
n	0.0227037262891	0.272268848933	0.41545256466	0.198404624929	0.06520532308	0.0259648989163
a	0.0143086473304	0.160189589938	0.402446268553	0.29410533593	0.0967814298987	0.0321687267166
m	0.0121563451929	0.0936625698327	0.363901248004	0.389704965577	0.11883065596	0.02174422287
b	0.0412154158056	0.150684521744	0.288267452059	0.359779322792	0.137532150047	0.02252112823
i	0.0573138553498	0.15991847371	0.251066435297	0.324082559064	0.111177440109	0.09644120885
a	0.0302790438015	0.0621557549899	0.247656146092	0.336247744121	0.204214252236	0.119447034326
p	0.0127200834234	0.0297778480128	0.246350274384	0.281644294674	0.370195365279	0.0593121221113
ò	0.00658747123469	0.0180147699035	0.191500219298	0.240792406265	0.49726185176	0.0458432537571
t	0.00534800619914	0.0115114704572	0.13080155547	0.224525179395	0.567699774587	0.0601139843657
t	0.0202028421861	0.0385906004737	0.0886467504233	0.166591678418	0.569079772196	0.116888332869
ù	0.0223002260434	0.0425730715838	0.0380238598223	0.0917753792297	0.465613088065	0.339714343856
</S>	0.0113292037141	0.0213058653207	0.020844370133	0.0573452387204	0.370364889032	0.518810405928
