 	vado	vestito	</S>
i	0.78396316973	0.10600352505	0.110033302681
p	0.66308286691	0.236182944317	0.100734192446
à	0.639763330637	0.257861002439	0.102375681295
o	0.557474787232	0.353682311013	0.088842917217
n	0.339727843551	0.531505730338	0.128766443944
d	0.427103770637	0.455141769313	0.117754471908
i	0.390131746322	0.382365880638	0.227502376263
m	0.194494718083	0.555789470546	0.249715819641
è	0.120605201041	0.650861262849	0.228533542767
n	0.156911867787	0.540646916283	0.302441212389
o	0.151700648114	0.356393425094	0.491905924263
</S>	0.0828533528941	0.220214277047	0.696932373132
