 	non	mi	aspetti	non	vengo	</S>
m	0.212922776915	0.311807106604	0.149890050935	0.112054699041	0.0191953246082	0.194130031885
ì	0.161798141469	0.387978362188	0.253119793328	0.118687455787	0.0118119211205	0.0666042973106
m	0.0973510948791	0.435857946317	0.296385421914	0.085596245869	0.0593150350884	0.0254942336604
e	0.0607239234955	0.441361227294	0.322177757776	0.0863653798897	0.0757098158131	0.0136618829256
m	0.0621640533009	0.382936633767	0.360474587155	0.0730334288199	0.110732223847	0.0106590724886
ì	0.0602955254418	0.204653869391	0.417390805922	0.159431708063	0.137160036694	0.0210680794862
n	0.0722504184822	0.137403900656	0.40122315314	0.237726100354	0.118573945949	0.0328225160221
i	0.0757749075769	0.094223437342	0.282536977213	0.408778459785	0.106900041383	0.03178620321
e	0.0345335320318	0.0442836825053	0.19651423181	0.596383586928	0.104814259928	0.0234707131
n	0.012925339878	0.0270347414918	0.150142521689	0.478071902376	0.231105087576	0.100720406639
è	0.00621956329269	0.0286766550072	0.15757789875	0.342894675192	0.321026636925	0.143604562658
r	0.0053417290955	0.038641562083	0.183218196247	0.274217072731	0.406560859375	0.0920205628527
k	0.0159050081693	0.0281881889937	0.143959008852	0.214636704777	0.446234704458	0.151076382394
o	0.0344184500845	0.023204423673	0.0848993324919	0.177204412546	0.360950417086	0.319322977507
m	0.031552511566	0.0226933625374	0.0774043561463	0.143301248335	0.414748739962	0.310299785456
e	0.0165321723467	0.0136001161673	0.0709986913188	0.109475068576	0.390123234121	0.399270714105
</S>	0.0123826027251	0.00963063840993	0.0382290698444	0.072933129884	0.27215388226	0.594670684053
