 	è	che	è	entrato	da	qui	</S>
è	0.542162626593	0.275256514703	0.0242918797384	0.020813340763	0.0147400099272	0.00874575290672	0.113989866716
n	0.378997876153	0.383928558768	0.0475999358289	0.116700721827	0.0252575702957	0.00511853227762	0.0423968104453
a	0.211113809226	0.463341000856	0.0972276848763	0.173577616569	0.0326081803213	0.00367323415211	0.018458500229
m	0.0997880148065	0.383915928292	0.116941088185	0.21593110225	0.116723245569	0.0302515192396	0.0364491231143
b	0.07447008534	0.225212188437	0.157544845528	0.311253417347	0.145500788089	0.0391580388674	0.0468606281988
ì	0.0834047589573	0.237717855432	0.232713453683	0.283560080106	0.0727891506657	0.0152130070412	0.0746016734625
k	0.0647177604398	0.172494616724	0.224308180254	0.295591988442	0.145703163136	0.0142609999204	0.0829232958152
e	0.0370878785613	0.0934120484273	0.210927599311	0.337993830914	0.263755082973	0.020562723061	0.0362608560079
a	0.022408042587	0.057187406955	0.179610138904	0.292633816491	0.301336536524	0.123535490059	0.0232885759523
p	0.00955628743202	0.0309630845417	0.100733331987	0.295994755697	0.247150139077	0.298534279385	0.0170681152373
ò	0.00452834169047	0.0201552216282	0.0588535720912	0.302720491952	0.213771570394	0.385316898268	0.0146538950038
t	0.00250060352389	0.0105423444315	0.0418714717461	0.272889332471	0.220687725798	0.423283327704	0.0282251963593
t	0.0427136440891	0.0212104410479	0.0695914764844	0.21742617071	0.216631601666	0.346040854618	0.0863858155064
u	0.0568853077552	0.0253039866586	0.0747253379892	0.142482341057	0.204480162422	0.257941535006	0.238181329115
</S>	0.0304323448768	0.0160416685542	0.0414320774416	0.114131713379	0.181075344211	0.272913894503	0.343972959558
