 	mia	sorella	quest	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.549275069959	0.272383769952	0.0147690692454	0.00976741039976	0.00847855737376	0.00353757297108	0.00228507419521	0.00244160949306	0.00782875299109	0.129233097984
d	0.428053973577	0.393979226471	0.0440812037998	0.0289263758584	0.018985558752	0.00856509278958	0.00865880547363	0.00979931115861	0.00825109855549	0.0506993550338
r	0.367029034319	0.417737625357	0.0847885614266	0.0427025252341	0.0229851341837	0.0097031550955	0.0109288834328	0.0121766869795	0.00830584505669	0.0236425831913
e	0.274971713503	0.555694423652	0.0884604245222	0.0400091551707	0.0101902613286	0.00427263745764	0.00473775653052	0.0046561733174	0.00330780100942	0.0136996766095
f	0.131050960984	0.581141246551	0.146841760174	0.0552469957616	0.0150815847755	0.0127029215834	0.00724942617828	0.00441054777002	0.0147538723136	0.0315206831142
f	0.147417919948	0.48328320666	0.195025717479	0.0753545611597	0.0188764313942	0.0163653084824	0.0076529717193	0.00403919006654	0.0181244402851	0.0338602616828
ì	0.184364536829	0.486698389363	0.203911630181	0.0777112134457	0.0149342282522	0.00867207954603	0.00366483614461	0.00156529028538	0.00612118684672	0.0123566139844
m	0.130938404689	0.446239154588	0.235031317547	0.0645922426352	0.0192019406505	0.00742226602353	0.00415805855375	0.00266687121867	0.0703824363264	0.0193673023507
m	0.0905509878783	0.361546828196	0.273351187536	0.0627545639317	0.0284633645902	0.00895149264918	0.00632981481035	0.00563964275164	0.0925296741963	0.0698824317238
u	0.0925140204451	0.260236119752	0.364410730245	0.101944032664	0.0381826184167	0.00985590916573	0.0137712692572	0.0115071852151	0.0321011926818	0.0754769297996
f	0.0898274735107	0.149310157804	0.413967105138	0.193082933208	0.0360902740322	0.00951719286124	0.0166913262918	0.0123466874338	0.0469430729994	0.0322237911483
ù	0.0580009682145	0.0806390754347	0.417607878569	0.258512217823	0.0700461059041	0.0148364114757	0.0254140867776	0.0083104899602	0.0514664271769	0.0151663401924
e	0.0236863541704	0.0362923805654	0.311520931323	0.311579095808	0.134019886435	0.0211893546172	0.0443259284543	0.0542693405419	0.0560466667124	0.00707006317091
p	0.0105425743037	0.0198541845756	0.166900765309	0.403615323923	0.119764704078	0.0283019858724	0.0465986799174	0.0711834713371	0.127827504625	0.00541079467594
p	0.0430364297816	0.0258894742805	0.125584700637	0.449600608961	0.103239433986	0.0477315780908	0.0399976099298	0.0351661007192	0.123693389944	0.00606066979038
ò	0.0525787030995	0.0232730486742	0.104087627546	0.46612618612	0.130145206289	0.0506921852503	0.0713852556899	0.0373804379104	0.0539237222851	0.0104076360523
r	0.0202593671409	0.0162730946727	0.088317986762	0.465765138773	0.150106097896	0.0480881013368	0.09103877139	0.0391156280735	0.0662002104046	0.0148356123239
k	0.0406205905598	0.0210906701011	0.070068360834	0.411351509991	0.166036223499	0.0815596896123	0.0791957477033	0.0289099465232	0.0876570904815	0.0135101849453
e	0.0465446401476	0.0173372407857	0.0506113013743	0.304807128064	0.239493963766	0.110435717004	0.0931890303678	0.0659464426544	0.0511995251048	0.0204350225008
t	0.029203109544	0.0103567111655	0.0643466809901	0.265978754827	0.277088311122	0.101356661295	0.0801400467559	0.0746000378428	0.0742231028875	0.0227065979839
e	0.0226214158904	0.00734054932711	0.0780288395374	0.218759095281	0.250167219374	0.157289073725	0.104708845152	0.0659656961456	0.0806683976605	0.0144508911951
e	0.00787630132964	0.00326033457333	0.0554803934378	0.0988288514403	0.201258371325	0.210126811175	0.207829210117	0.154164384489	0.0507644024254	0.0104109520179
t	0.00660445212858	0.00308380129385	0.0391510569393	0.0639439169001	0.118974007508	0.211253019985	0.237650103292	0.156520386616	0.131329092886	0.031490153825
è	0.00614209305465	0.00309232229635	0.0484126009707	0.0703940501734	0.0862088087027	0.188792341122	0.267301163017	0.129685993472	0.151065503869	0.0489051097223
l	0.00604313317291	0.00436383195265	0.0575435139747	0.0802766551245	0.0892516556342	0.139371814774	0.294361133339	0.133081808357	0.150292347494	0.0454140987781
i	0.00609815402008	0.00480722919293	0.0432984493322	0.0828462289348	0.0897495037314	0.114330385991	0.258651743713	0.186109989452	0.153377791745	0.0607305113927
n	0.00302962842959	0.00266222006645	0.0280620779902	0.0575280289849	0.0596501191371	0.082712623837	0.251168281838	0.268771265951	0.171410575248	0.0750051782469
a	0.00193981050232	0.00190247848805	0.0234687341853	0.0477498623923	0.045177817699	0.0625171665857	0.220147485746	0.317574200384	0.197710432636	0.0818120211316
d	0.00274237278751	0.00261778466803	0.0445647340185	0.0588216530148	0.042478086913	0.0533032437286	0.194748635782	0.345042399195	0.190570533365	0.0651105496239
i	0.00297803277184	0.00288866599894	0.0531185267282	0.0611890032943	0.0333416030243	0.0547994147962	0.175872530461	0.345750024398	0.210728536955	0.0593336543213
v	0.00690028569722	0.00406228614671	0.0565336882535	0.0599637571308	0.0286412901414	0.0510422250187	0.152180680154	0.338773724799	0.241753272285	0.0601487780404
e	0.00820163405448	0.00443081573331	0.0518912984728	0.0469868128309	0.0220906107651	0.0477013100929	0.129741188718	0.320973160933	0.279694544555	0.0882886136135
n	0.00386393679157	0.0028398039354	0.0253902818401	0.026551673775	0.015876373563	0.0415581251043	0.0944070721993	0.306162969511	0.339676477312	0.143673302551
t	0.0168664676554	0.00315102027685	0.0147732931641	0.0120329218424	0.012189916851	0.0241914801121	0.0694544488398	0.23828805557	0.458639549571	0.15041285873
è	0.0201429399923	0.00211379446036	0.0097097151994	0.00553902901015	0.00905554553149	0.0149216350497	0.0393995767466	0.175219948923	0.517567792692	0.20633003211
s	0.0150057359332	0.00786106947137	0.0217462683297	0.0260797161641	0.0144295761017	0.0226682366502	0.0479527122355	0.162523580374	0.487241614132	0.194491519037
s	0.0576826333612	0.0103366448008	0.0264167769501	0.0339262286207	0.0187932660539	0.0268500878621	0.0572694438785	0.166131942991	0.439403653444	0.163189338708
i	0.0638280911626	0.00410889194018	0.0103069863811	0.0129070747461	0.0104069162716	0.0129791603244	0.0322681393795	0.124080776797	0.371269310961	0.357844652065
m	0.0245551947271	0.00255827825013	0.022302053309	0.0171607562032	0.00851963491257	0.0086733640572	0.0299840957798	0.125342342666	0.407699670466	0.353204612248
e	0.0117519528709	0.00211644100624	0.027040056738	0.0219017922332	0.0126649348753	0.0156311896804	0.0342822325133	0.137777494155	0.455901436269	0.280932467643
s	0.0064570904815	0.00390023359383	0.0195904786707	0.0244539478812	0.0195648726284	0.0273960507068	0.0380741584444	0.153823937012	0.446263079536	0.260476138848
s	0.00635124544317	0.00530665140742	0.0179299865073	0.023353090861	0.0186398208935	0.0251723839976	0.0365218186748	0.164390967364	0.521267574512	0.181066454383
è	0.00425131673022	0.00267067266617	0.00779293539508	0.00943938111269	0.00908682168471	0.0126635366192	0.0189246796186	0.101007062788	0.518857551911	0.315306037928
r	0.00390996584148	0.00182130742583	0.0141022273204	0.0197489017185	0.00736660024592	0.00858458091504	0.0170305070132	0.102519403929	0.519145446377	0.305771056376
a	0.00448133503884	0.00157704689421	0.0161870498093	0.0233659424165	0.010558650137	0.00961276451848	0.0209821112637	0.104150608296	0.435360658507	0.373723843859
</S>	0.00328777230957	0.00084784119822	0.00820476019094	0.012044453627	0.0110463294048	0.00866661519944	0.0184032229908	0.069129695528	0.309252415826	0.559116911929
