 	i	bambini	non	possono	mangiare	il	gelato	prima	che	che	mangiano	</S>
t	0.382569524072	0.241536829579	0.074200332461	0.0520325624623	0.00306327153178	0.0180840299898	0.0341853188224	0.0369964726646	0.00536298242358	0.0077390178689	0.0109510626097	0.133278593232
a	0.408916525731	0.26396972792	0.0906513299797	0.107377682398	0.0317716709248	0.0071891400853	0.0129493274716	0.0165085002986	0.0027526792282	0.00301980124469	0.00416189048492	0.050731734956
p	0.354735773618	0.194437321794	0.138838245295	0.145277542776	0.059056811946	0.0139608488685	0.0109262305542	0.0382127736766	0.00252530093015	0.00198750059656	0.0169031907028	0.0231384734226
e	0.272671737771	0.191623246757	0.221395039778	0.159247406862	0.04731836813	0.0157178512794	0.0106338353571	0.0455681684028	0.00247968475784	0.00158879983332	0.0210996500014	0.0106562264159
d	0.209879198404	0.273492443037	0.231914845193	0.14613494659	0.0346398681493	0.0105340170112	0.0192996879368	0.0407442054478	0.00752921237094	0.00524653572956	0.010105815365	0.0104792196293
ì	0.15203715287	0.240512911139	0.294404379464	0.141152486835	0.0541644560431	0.0120393365717	0.0263549282767	0.0465598150636	0.00946853404595	0.00649742330055	0.00642849484299	0.0103800632311
a	0.0931858414204	0.141912619042	0.422380148488	0.182486771145	0.061278781261	0.0158783055872	0.0294118950981	0.0388421689149	0.0052656776403	0.00294815337724	0.00259686213094	0.00381276319758
e	0.0410773955198	0.0820745306887	0.408051861696	0.302478199848	0.053849385967	0.0281156399323	0.0378858719308	0.0356698224956	0.0049114559131	0.00244615696451	0.00166757083228	0.00177210479836
s	0.0168987090413	0.0543988391436	0.269925282832	0.392383607483	0.0630156760223	0.0524252798961	0.0524312234043	0.0478230551759	0.0101327917178	0.00502926874764	0.00579818174558	0.0297380908126
ò	0.00716327552117	0.0477032942467	0.183368003411	0.422384406028	0.130987445207	0.0491232522254	0.0499608773274	0.047314836309	0.0109687451712	0.00531714532565	0.00684781239871	0.0388609068511
z	0.060158054547	0.0730649428684	0.12688321167	0.394423547143	0.145407523936	0.0286626928398	0.0481834654151	0.0484645965634	0.0119233762527	0.00572720794089	0.0114818302431	0.0456195521843
u	0.079638471125	0.065688407879	0.110907497763	0.322844508648	0.196800299312	0.0490183982779	0.044784717169	0.0504527050248	0.0126138285793	0.0061761132817	0.0131794335482	0.0478956363434
n	0.030955161429	0.0338403149065	0.0953468151057	0.296141972683	0.280571253771	0.065948219466	0.036514827523	0.0636007477476	0.0257595050228	0.0165561911325	0.0197075838178	0.0350574115174
e	0.012912645431	0.0207810443109	0.0679526948936	0.248038382894	0.327415875924	0.107820174269	0.0386107900077	0.0686431505739	0.0327587974716	0.0219958569557	0.0222698367121	0.0308007372037
f	0.00785876570071	0.013289848513	0.0594394508482	0.161728420098	0.379299268108	0.117230814603	0.0458046280826	0.0868679962186	0.0332150610699	0.0275071184408	0.0328804922486	0.0348781278966
à	0.00503073219351	0.0104652538244	0.0291083784221	0.0969949584327	0.444203582836	0.0958416354343	0.0650279552275	0.107380928433	0.040507319426	0.0319673037009	0.0370233499319	0.0364485915137
i	0.00224814928464	0.00711235551465	0.0204330038792	0.0791970032709	0.373728686745	0.170672106859	0.146194328076	0.115206833106	0.036371817456	0.0176807750896	0.0180827517014	0.0130721815581
t	0.00247153095727	0.0059579326666	0.0170601421687	0.0801996321503	0.178093470688	0.222299969187	0.206002615092	0.164443102977	0.0390482423147	0.0154311633119	0.0437578624109	0.0252343344349
o	0.00234607301649	0.00425334827851	0.0151595646888	0.0910302514568	0.135586471603	0.259839377951	0.189749698897	0.155035623646	0.0445804029582	0.021559737964	0.051734998681	0.0291244552728
g	0.00696687863854	0.00721634680763	0.0149186149501	0.0696712728323	0.123807822601	0.220939298672	0.161602400899	0.201151696995	0.0656954555527	0.0448468510213	0.0606589952803	0.0225243834715
e	0.00834013632471	0.00867733655498	0.0125967447659	0.0546815347241	0.1161700934	0.211761656444	0.1538204583	0.237269131398	0.0642231173576	0.0484691631591	0.0634736505521	0.0205169947298
