 	se	vieni	a	casa	ogni	sabato	</S>
a	0.548432053279	0.129328983459	0.107803172076	0.0699094392565	0.0026495629877	0.0293487940432	0.112528018535
n	0.408989061662	0.208230828444	0.178572110559	0.0850485556248	0.00923694167537	0.0104402663961	0.0994822610315
è	0.237319516008	0.339568896039	0.219196502353	0.0947447639663	0.0114728515998	0.0039496294677	0.0937478548863
r	0.138069667919	0.392350494986	0.301759368218	0.0951542853068	0.0150129949659	0.0094305587741	0.0482226451616
t	0.0613100683749	0.321056295835	0.405951446739	0.107840044989	0.0186157757373	0.0115470717136	0.0736793137289
i	0.0359662737581	0.234070242945	0.474751774913	0.141278453083	0.0435183109144	0.0043045448644	0.066110403395
è	0.0286715660933	0.136128859662	0.467463084971	0.261430182228	0.0813073462515	0.001845464074	0.023153499088
s	0.0209903882599	0.0872831694473	0.451656495657	0.319239829276	0.0793842882172	0.0275507675533	0.0138950565543
s	0.0122301230222	0.0670803759624	0.458322212952	0.298444222892	0.0990608999524	0.0417695441104	0.0230926180274
u	0.0148929616641	0.0603462363901	0.349110348864	0.329026090384	0.197785711864	0.0232300933701	0.0256085706911
k	0.021603616567	0.0405429815214	0.250781217101	0.363141443415	0.231115188288	0.06170829591	0.031107266159
u	0.0200090916735	0.0365818078875	0.183053626054	0.315630522492	0.304336722429	0.0943363727033	0.0460518643063
à	0.00917581602875	0.0278243631059	0.083141492558	0.251322275424	0.47069234481	0.114876918901	0.0429668026861
i	0.0228039859496	0.0165288026079	0.035743436786	0.210552327701	0.46127776587	0.2146867307	0.0384069558087
s	0.0274906504459	0.0158363123548	0.0316048255153	0.1665117448	0.34119696029	0.366213921567	0.0511455931456
à	0.011369466712	0.0113823043337	0.0261844398384	0.098504744222	0.233197669597	0.561848197389	0.0575131879819
m	0.00714555847351	0.010322291712	0.0278795879928	0.0918107285113	0.132302603912	0.672526910463	0.058012320394
b	0.0146832007878	0.0095254860376	0.0381541393043	0.110717221832	0.073549386184	0.671944531488	0.081426033818
a	0.0183903401431	0.009227598612	0.023718580889	0.0715172020356	0.080592329008	0.501880989229	0.294672962359
</S>	0.0131869999677	0.0128875658798	0.0132970364959	0.0399539712552	0.100243915524	0.332132506715	0.48829801118
