 	viene	fabbricato	</S>
è	0.632476760643	0.26032566344	0.107197581475
r	0.436055986947	0.505627781173	0.0583162357548
k	0.383167236182	0.541269491075	0.0755632614453
e	0.446215309474	0.473071580242	0.0807130880954
t	0.396177770405	0.545023791281	0.0587984395985
e	0.337637459568	0.607545301094	0.0548172446528
f	0.290254073289	0.638163156098	0.0715827539109
a	0.22677963833	0.622202187099	0.15101816833
b	0.146343702183	0.695338600366	0.158317718107
b	0.315645586908	0.587897682589	0.0964567460801
r	0.461840218696	0.442598038863	0.0955617476411
i	0.361898125338	0.419062124088	0.21903975478
k	0.219796446689	0.504352991629	0.27585055646
à	0.109844263705	0.635562125876	0.254593606087
t	0.149813409887	0.564918666625	0.285267920229
o	0.162534659749	0.344853340922	0.49261199921
</S>	0.0873122629544	0.198256572531	0.714431172605
