 	non	mi	aspetti	che	non	vengo	</S>
m	0.228853380883	0.279474431395	0.164973159083	0.105402830699	0.013520463583	0.0212282455454	0.186547449569
ì	0.168284810802	0.373586833501	0.26119360872	0.113826266466	0.0107582411016	0.00939095540014	0.0629592595479
m	0.0882055015847	0.413681937941	0.326030638126	0.0753148548753	0.0346273110358	0.0384430109367	0.0236967280197
e	0.0480763544932	0.385838444355	0.380537488595	0.0805921835584	0.0459958115159	0.0481706922124	0.0107890241225
m	0.0559493542005	0.342988817938	0.405242184263	0.0910624183828	0.046104356146	0.0529566831113	0.00569619288955
ì	0.0568577654091	0.192651860652	0.468400811423	0.148521970924	0.071004866392	0.0556800264094	0.00688268102232
n	0.055774583079	0.134561714677	0.462736610966	0.186912290975	0.109762169797	0.0395632367225	0.0106893800329
e	0.0527871356225	0.090313929158	0.353851434913	0.311755070992	0.147279754999	0.0338505175582	0.0101621767269
k	0.025168590864	0.0477784853347	0.297875361203	0.368247799664	0.134696307466	0.11429318237	0.0119402858782
a	0.0186980257048	0.0338546583271	0.26046376761	0.350720869221	0.170178251622	0.149164814903	0.0169196098994
e	0.012631760265	0.0183659548883	0.194683485479	0.344116848407	0.287468189741	0.111236718101	0.0314970474231
n	0.00494090179059	0.0128757981209	0.125268036282	0.212419830678	0.3016809332	0.24350482972	0.0993096872177
è	0.00375609729957	0.0225225939343	0.096798722754	0.128774253968	0.267617019553	0.351889057773	0.128642268693
r	0.00483217928776	0.0333273287188	0.104895290619	0.100063557209	0.254303318851	0.410518125124	0.0920602129443
k	0.0194509022985	0.0252861189766	0.0753901786892	0.10860128133	0.199725284017	0.439232223708	0.132314015745
u	0.0458130865435	0.0243333989323	0.0407037330361	0.096365615946	0.148457804072	0.354312441503	0.290013921165
m	0.0416018384588	0.0244319141097	0.054639448373	0.0607232326447	0.166858461624	0.365590651034	0.286154474015
e	0.0212270150833	0.0147568034731	0.0557001768917	0.0418684149082	0.159700509608	0.337542417545	0.369204691632
</S>	0.0168657259023	0.00967522862454	0.0292587439929	0.0278024703941	0.111543959404	0.243788031172	0.561065871816
