 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
e	0.530047350339	0.280155924279	0.0383470801733	0.0171297988292	0.00250998664255	0.00237701763199	0.00425247750867	0.0124480184359	0.00655316052585	0.00851638094665	0.0342710924494	0.063391763028
M	0.590544196113	0.28432686922	0.0206609486247	0.0250095443971	0.0112562398446	0.00641826613978	0.00382664910592	0.00544038031346	0.00287209377255	0.0132613035659	0.0121865544631	0.0241969867786
à	0.662176722038	0.22924154464	0.0177533590511	0.0270114654467	0.0142834594568	0.00787418148581	0.00370582747406	0.00314908958956	0.00165812133848	0.0148463828214	0.00483003010147	0.0134698347009
r	0.648875768753	0.248685480387	0.0311133179292	0.0297345830663	0.0154625577961	0.00652002469518	0.00152033823691	0.0011184848243	0.000577565206878	0.0056212142182	0.00171808914799	0.00905261112427
i	0.471441015702	0.389425626569	0.0654251893484	0.0417948019899	0.0163493506881	0.00592784665906	0.000749078262602	0.000389089323892	0.000200708366433	0.00252937564443	0.000678370278411	0.00508958072903
k	0.293043623105	0.428887617323	0.155234826103	0.0622780660128	0.0337469493592	0.0121575383294	0.0046183439813	0.00041368173991	0.000395971589432	0.00263237982463	0.00158300040893	0.00500802134188
a	0.203576100329	0.437036856041	0.216601238568	0.0697380389269	0.0406790603633	0.0146943369097	0.00616601877908	0.000422264935473	0.000461365922475	0.00267115646681	0.00188906231053	0.00606451471439
j	0.169150956007	0.38800058778	0.260076056256	0.0665527562556	0.0434638948934	0.012641892219	0.0143373044927	0.00342729878985	0.00472699482772	0.00926562411737	0.00286616152608	0.0254904613028
u	0.156227063099	0.31152802716	0.318041073885	0.0732292141519	0.0472051125038	0.0143711602716	0.0181954646297	0.00444889352919	0.00615168557491	0.0114955676046	0.00320882531277	0.0358978798566
r	0.113346159916	0.281307491653	0.330500765562	0.101018007451	0.0559446041539	0.0171287407265	0.0291182916324	0.013659536392	0.00370008989485	0.00729984239141	0.00247433680077	0.0445021100888
è	0.0929188000877	0.172553804551	0.376523588121	0.146135701417	0.0621305703313	0.0248252718502	0.0355829825931	0.0167273905199	0.00288551039291	0.0059290317388	0.00230120588857	0.0614861265523
i	0.0822327038619	0.15620181445	0.339644453263	0.261274391606	0.0492071731438	0.0230826064441	0.0184540211032	0.00721984355628	0.00227792754377	0.00673916209289	0.00352530321739	0.0501405939757
m	0.0516606335261	0.12770797495	0.290549736977	0.312641197602	0.0780953057146	0.0302603173214	0.0209997225746	0.00874483036598	0.0192250437367	0.012091262986	0.0199675846874	0.0280563850466
i	0.0465201873952	0.0916268128947	0.252841780926	0.304055358001	0.114973360638	0.0679932336338	0.0424545235771	0.0100022477511	0.0239195903291	0.00958132598491	0.0229291063214	0.0131024732283
a	0.0264703051262	0.0698754417896	0.137713937669	0.366466777067	0.187928578813	0.102040566138	0.0459895466099	0.0131507983709	0.0138168917916	0.0107737655672	0.00871462830941	0.0170587785997
m	0.0326500037881	0.0366866908579	0.0908155024497	0.324208443356	0.211564489738	0.121512314113	0.0594277038353	0.0223991325805	0.0263480812528	0.0295516255998	0.02238943222	0.0224466004356
