 	vogliono	girate	</S>
t	0.658638051846	0.19846539517	0.14289655954
è	0.694481871984	0.182858047283	0.12266008331
l	0.666682196195	0.180204489503	0.15311332061
u	0.527089393978	0.26509116215	0.207819450541
n	0.448483636072	0.358378558583	0.193137812587
e	0.378052863084	0.468523560261	0.153423576136
v	0.290105263936	0.556183337287	0.153711401712
o	0.216701043009	0.564903704629	0.218395266237
t	0.183802709287	0.55428318121	0.261914112279
i	0.150760145967	0.55134554107	0.297894301626
m	0.0890235150852	0.589026703023	0.321949757122
m	0.15906943121	0.607862367674	0.233068172795
è	0.188830666705	0.517711943891	0.293457362106
n	0.20241417534	0.495198355564	0.302387454035
e	0.183108218597	0.377405435895	0.439486339345
</S>	0.0926115436876	0.260013196607	0.647375247672
