 	noi	ti	amiamo	a	te	di	pocchi	giorni	e	non	ti	possiamo	dimenticare	mai	di	questo	che	trocammo	bene	a	te	</S>
e	0.40120961055	0.180071239602	0.0893053712315	0.062642458309	0.0114637546241	0.0281481142465	0.0115373725193	0.0282377450108	0.0130461626358	0.0147067277858	0.00964905906555	0.0152756838979	0.0115715536719	0.0153537101344	0.0179257310733	0.00756669615826	0.00660830587049	0.00550482138448	0.00349850338912	0.00853209784577	0.0175026066244	0.0406426992956
m	0.432996112926	0.207395414785	0.125133975658	0.0639901744648	0.0157460881325	0.0313537728865	0.00918055831939	0.0242213201105	0.010946087275	0.0109701260726	0.00770762984658	0.00690220461258	0.00397003998397	0.00600704155074	0.00647223779737	0.00276562636996	0.00273827987349	0.00293453825803	0.0016761981288	0.00344057733616	0.00681180313734	0.0166401865995
ì	0.375716858382	0.295408503513	0.118378066059	0.0735898811961	0.034474051439	0.0230394764224	0.0079338829268	0.0183090158019	0.00924139268152	0.00806423080034	0.00706859636671	0.00338899971862	0.00145101732489	0.00282343756836	0.00264863676719	0.00112806087652	0.00123950465663	0.00207678294072	0.00103610362248	0.0017397066979	0.00324858697031	0.00799519471012
s	0.250663878981	0.380953003678	0.099896629451	0.0972001779674	0.0524239530678	0.0272271146772	0.00774295765293	0.0447503739822	0.00672091074705	0.00784018646099	0.00348101283188	0.00292762657328	0.00101843087403	0.00169150106628	0.00111535190223	0.000864025492546	0.00182958119588	0.00115855136296	0.00390727712436	0.000874974653068	0.00135144576498	0.0043610511066
e	0.179602822228	0.364333045813	0.138301283587	0.109559296648	0.0440048635838	0.0362876253937	0.00753004018589	0.0845273840197	0.00699860522918	0.00823034239219	0.00228750297034	0.00250370566529	0.000949251802222	0.00132208659925	0.00061268318394	0.000776537851083	0.00201459080138	0.000853617007241	0.00485903322335	0.000597182750982	0.000722917677361	0.00312560567193
g	0.0927387312338	0.320764996504	0.274917253792	0.111297069521	0.0528528686538	0.0346836770154	0.00466095541327	0.0755671184387	0.0119129740148	0.00664583040832	0.00110981683561	0.00293923792362	0.00055164248814	0.000940094827358	0.000349624284506	0.00034568816517	0.00107582225449	0.000396883882623	0.00187172654215	0.000406113800106	0.00251272351275	0.00145916999927
a	0.0611078654395	0.212821956608	0.348183700442	0.158573206434	0.0631648923506	0.0381383443644	0.00560558114801	0.0796546193407	0.0123857621463	0.00744420068007	0.00074405426059	0.00334878120159	0.000395645918819	0.000924875520631	0.000287983980421	0.000294615329579	0.0011091636369	0.000252688152495	0.00117107457148	0.000340701414017	0.0031122775178	0.000938022563057
p	0.0611443538136	0.153680416823	0.322508015792	0.197139782871	0.0754408790829	0.0414985965474	0.00792032542653	0.0831086034272	0.0121399706408	0.0100427504188	0.00106954140851	0.00427468417229	0.000716227576335	0.00160152004562	0.000472773486078	0.000480638011783	0.00190450649405	0.000442773299738	0.00114095095084	0.000385953336091	0.00632068250105	0.0165660625331
ù	0.0603140695304	0.108628959495	0.312326538702	0.197534405824	0.133726650394	0.0449836267211	0.0110854152784	0.0615554821863	0.0156825339105	0.01068283722	0.00144761450121	0.00535463890553	0.000832131194003	0.00181517246423	0.000549599186745	0.000484507923096	0.00201475620463	0.000525624000623	0.000921271413428	0.000402038920082	0.007385243593	0.0217469065658
m	0.0473912298406	0.068594660119	0.306578086872	0.213883114608	0.144360279278	0.0462032414457	0.0183501427934	0.0498039477627	0.0162503249526	0.0118075402123	0.00466581535001	0.00462881921986	0.0138627362863	0.00516304842031	0.00444250183225	0.000691443556208	0.0031793563851	0.00547631798058	0.00262502594692	0.00231569545139	0.0141741637065	0.0155525245174
