 	hai	già	mangiato	</S>
è	0.738829267394	0.130827218727	0.0122002171951	0.118143292814
c	0.621959471471	0.254414989709	0.0827512649941	0.0408742793371
h	0.518779031497	0.344707230503	0.107990834688	0.0285229079144
i	0.394795100632	0.529822336901	0.0435266710773	0.0318558994455
g	0.238843765904	0.549144373634	0.169170602784	0.0428412535738
i	0.16610998787	0.486485022545	0.275953209295	0.0714517700646
à	0.0726876861473	0.493412717248	0.343762027932	0.0901375621282
f	0.0371875685844	0.341039860983	0.535629733577	0.0861428255094
a	0.0251993922897	0.217314083068	0.589292230526	0.168194293063
m	0.0119907466795	0.132436082116	0.642925729509	0.212647448168
è	0.00676412616134	0.0661705167853	0.70363809917	0.223427265203
n	0.0139813518178	0.0368595843351	0.686667767057	0.262491293714
a	0.0156636837483	0.021613816164	0.521831486819	0.440891005218
</S>	0.00811165708194	0.0119858573905	0.34324010911	0.636662372609
