 	siete	cucinato	</S>
ì	0.791667491937	0.106307101929	0.10202539074
s	0.718748557979	0.20585689466	0.0753945250577
e	0.662500441326	0.264451070195	0.0730484724818
s	0.588665208309	0.337274052876	0.0740607419275
t	0.46907023463	0.402520590141	0.128409176444
a	0.397752877617	0.41302815276	0.189218958497
m	0.265077278799	0.567370871653	0.167551849712
a	0.189431090215	0.596488142951	0.214080771624
r	0.144325606107	0.618107158717	0.237567239217
à	0.0767680773177	0.727428217572	0.195803710108
t	0.118996801088	0.627630926791	0.253372282036
a	0.136464982021	0.386707896497	0.476827136012
</S>	0.0972787440477	0.223879034198	0.678842232006
