 	mio	padre	ha	lavorato	sempre	</S>
o	0.50870765108	0.197083434992	0.0278653566291	0.0365709654997	0.068740986828	0.161031580721
c	0.352648986205	0.370930158331	0.0494780561088	0.0598729013419	0.106148550514	0.0609213402425
i	0.224352328522	0.477244673777	0.106090063716	0.0816324142006	0.0845699544636	0.0261105558593
ù	0.185078018468	0.567660584926	0.147804491779	0.0544976399975	0.0341785391746	0.0107807117269
r	0.134860258064	0.609709194975	0.169002562926	0.0536939186632	0.022595087221	0.0101389631692
i	0.098009430256	0.588975216992	0.220585303909	0.0634425248077	0.0188827557343	0.0101047522728
m	0.06787086512	0.530469766597	0.181883990103	0.137999941703	0.0764651453961	0.00531027428065
m	0.0699465145633	0.498312887039	0.106064052557	0.170969910634	0.131224979621	0.0234816518712
u	0.0672106554144	0.393141190053	0.252928730575	0.152464790525	0.0826429203157	0.0516117375434
è	0.0297118149224	0.191458835051	0.439323724925	0.243215028735	0.0526834752845	0.0436071562899
p	0.0240445233297	0.15484305185	0.388115483708	0.281966010272	0.120668290563	0.0303626596167
o	0.0256064218146	0.143925346677	0.275574293969	0.372993290804	0.147149083321	0.0347515773922
l	0.0332403819107	0.0867411403527	0.181755266456	0.446695748068	0.215884214907	0.0356832645241
e	0.0359903205165	0.0642572414352	0.128063672465	0.449331566023	0.279719965702	0.0426372260014
m	0.0273775362111	0.0467455891214	0.094847423335	0.459348625341	0.316924023301	0.0547567971271
i	0.0243966253727	0.0385244738559	0.0694597938743	0.398291051114	0.3555392271	0.113788839102
m	0.0177801443645	0.0328341796841	0.0591636421941	0.338960406971	0.391817204367	0.159444421527
m	0.0486062238074	0.0831416574844	0.0298135082514	0.27300116139	0.395820943616	0.169616501049
è	0.054044686446	0.0974508940708	0.0240325571571	0.19464672913	0.377384855365	0.252440275396
n	0.0524069156278	0.0434265634766	0.0268616905537	0.14789338991	0.499099751788	0.230311697025
a	0.0577441032168	0.0431760462213	0.0307485737896	0.11384917717	0.501955729263	0.252526382902
p	0.0393920438546	0.0385415241825	0.0249556222134	0.0711815279833	0.566880909088	0.259048368234
à	0.0270127185744	0.0180885815309	0.0147772130457	0.0542704351611	0.720606941029	0.165244104145
n	0.0148157883302	0.0126865617562	0.0115687406146	0.043234819827	0.719842615676	0.197851473202
t	0.0447118735727	0.0194515907949	0.00916961301288	0.065142202349	0.609244383425	0.252280329134
a	0.0497424324256	0.0174003398426	0.00574979938879	0.064716182311	0.381771029342	0.480620206091
</S>	0.0257372396598	0.0116016395437	0.00437190282613	0.0371973308375	0.242881719671	0.678210163045
