 	le	melanzane	devono	girarsi	dopo	le	cucini	</S>
e	0.401658179675	0.377002727323	0.047648192992	0.030446306039	0.0162263067196	0.00624409323686	0.00648626878838	0.114287919845
m	0.265519712656	0.554401276508	0.057312208034	0.0214604684057	0.00923451563694	0.0380269417472	0.0134554250583	0.0405894349633
a	0.160580722152	0.668752201169	0.063733904578	0.0183396849271	0.00676008352659	0.0482235559881	0.0158770139357	0.0177328182292
r	0.141616308617	0.665886211056	0.0645349174193	0.0394926162296	0.019884272497	0.0225300948037	0.0131504670679	0.0329051095382
a	0.128560263596	0.663846681019	0.0768241890131	0.0456988161877	0.0244711332183	0.0134871909534	0.0121421329907	0.0349695836035
n	0.0604166233347	0.659664704406	0.107518897191	0.0710687891351	0.0390506495822	0.00811690833469	0.0103531884685	0.0438102257473
g	0.158754184357	0.445817119479	0.19538793789	0.0862968475639	0.0462609497297	0.00692948805436	0.0125792589866	0.0479741917753
i	0.197411171846	0.398807984237	0.281522579363	0.0399937511369	0.0528733811428	0.00313340198423	0.00726151766116	0.0189961839707
à	0.0787776103777	0.416789879412	0.295804767704	0.0775425305123	0.0586952830991	0.0608881055804	0.00321013645726	0.00829168222096
n	0.0563178169375	0.313082602137	0.285464416731	0.186960964091	0.0371680442458	0.088621190559	0.0186937734213	0.0136911971861
e	0.0518990875671	0.218632847379	0.414918191044	0.196182194204	0.0411628676913	0.038571860352	0.0233830981923	0.0152498412532
è	0.0214297893514	0.20087037512	0.475765468208	0.165331247915	0.0460013864991	0.0763493926268	0.00878956364461	0.00546275111844
n	0.0139599680937	0.157766812447	0.376437899596	0.237739022653	0.050441850899	0.109207468651	0.0367069443824	0.0177400162806
e	0.0131547398224	0.116133367732	0.315664961532	0.317830674319	0.110755153833	0.0593621338197	0.045437062604	0.0216619046764
s	0.00897268436007	0.0852638968813	0.284035977311	0.317933750953	0.163302646344	0.0468612705619	0.0652698499003	0.0283599240808
e	0.00612431659968	0.0648842866678	0.224987295704	0.309483270764	0.245465657248	0.0455470382006	0.0727703416634	0.0307377854789
g	0.020566458012	0.0693727290275	0.180744932568	0.250968918665	0.316483098749	0.0539152692402	0.0921539590838	0.015794623881
i	0.0255484331069	0.0505773857031	0.144288908256	0.203298962432	0.389193060916	0.0763819605627	0.099145867829	0.0115654157497
r	0.0146373253385	0.0327616592907	0.119636645819	0.220680106205	0.405399294239	0.0736566806569	0.104945648502	0.0282826337146
è	0.0105339799832	0.0270262862856	0.0919472948597	0.217737210596	0.369284670613	0.113185827572	0.134487094527	0.0357976347642
t	0.00853095741036	0.0219408034576	0.0479447784266	0.264881444332	0.361728299204	0.122531534691	0.149841991342	0.0226002013587
s	0.0161324813181	0.0151981260804	0.0736850077355	0.254211709177	0.278102350379	0.13450162743	0.16872877914	0.0594399265846
i	0.0141262789625	0.00930205960225	0.0759686234992	0.211748131192	0.259457075704	0.204380681833	0.127329902907	0.0976872466265
d	0.0235878788462	0.0141485643265	0.0361372664137	0.161901944077	0.267214759901	0.2260791851	0.199186104636	0.0717442978422
ò	0.0264378661212	0.0156783047446	0.0172656307652	0.082931066639	0.314320482034	0.19823319455	0.303953203105	0.0411802427074
p	0.0161816784747	0.0099179967066	0.0135937671377	0.0771322790063	0.309090436945	0.205067280533	0.331408883995	0.0376076594691
u	0.012843884949	0.00771210935157	0.0193003204929	0.0848220216854	0.247927843202	0.21950073136	0.318749234398	0.0891438521964
e	0.00461324275768	0.00492186481837	0.0195072058684	0.0550320897385	0.204049022047	0.190360157335	0.397810771866	0.123705643465
m	0.00943271523165	0.00617008906835	0.0207973180881	0.0493190424948	0.114742710642	0.243429048512	0.459961725955	0.0961473487083
a	0.0108568032145	0.00506226761679	0.0190114122181	0.0821325601803	0.131115967821	0.263628147984	0.383076809365	0.105116036123
r	0.0045700303714	0.00238206306892	0.0105280200178	0.080222063931	0.13470653302	0.218658879755	0.454521937502	0.094410479181
è	0.00278983523271	0.0022672861622	0.00516131639707	0.0459090729126	0.0791221889733	0.177493091648	0.626337202167	0.0609200038003
i	0.00142910059826	0.0017976236384	0.00235642719921	0.0203746419289	0.0549625248444	0.103113845769	0.633673301189	0.182292531
</S>	0.000944777383793	0.00105344020686	0.00144797842719	0.0114433229244	0.0350385039622	0.0709096531392	0.571681535294	0.3074808001
