 	l	ho	sentito	che	viene	</S>
o	0.45206121918	0.153472341276	0.15783451615	0.0563905164255	0.0043100758445	0.175931325753
n	0.306520519379	0.214822696712	0.218554410766	0.145315907294	0.0366343129787	0.0781521702131
ì	0.166010291778	0.289346845644	0.290563843062	0.16226566165	0.0470020940684	0.0448112926947
k	0.0905368919427	0.337575358435	0.309677057401	0.179265770003	0.043256378122	0.0396885749607
u	0.111558196841	0.414122798478	0.19552754824	0.190250263654	0.0448156555374	0.0437255478401
s	0.0966075037237	0.405400018159	0.193013688653	0.233989040485	0.0471278642825	0.0238618903687
a	0.0428469282899	0.247001327373	0.228486186077	0.404020505495	0.0575722517648	0.0200728206548
n	0.0182626447337	0.147066213911	0.187074004018	0.442289799165	0.153221784072	0.0520855659661
a	0.026933221579	0.0792929010159	0.11821003392	0.420369200388	0.281250210824	0.0739444353887
r	0.0464318303124	0.0527892078642	0.0623906954002	0.321255136409	0.441837879075	0.0752952625029
t	0.0551237483088	0.0284651160281	0.0799704014467	0.203174233616	0.507281041825	0.125985474918
i	0.0410877187144	0.0187373558253	0.0791296434769	0.148135117772	0.350887237408	0.362022931617
</S>	0.0240352082924	0.0160364914466	0.0407937082304	0.096705418936	0.266877274704	0.555551896809
