 	ora	io	sto	studiando	di	di	imparare	di	diventare	maestra	</S>
à	0.752629161077	0.0821769226524	0.0035060880528	0.00133387312559	0.00257605128227	0.0021792610538	0.013835314625	0.00525447026266	0.00742270395825	0.0432462713155	0.0858398761693
r	0.588887223292	0.255672049083	0.0254588909928	0.038195719706	0.0155283014003	0.0065443647801	0.0132715796731	0.00283594758583	0.00854807894371	0.0149584872796	0.0300993581433
t	0.398537204159	0.400909070068	0.0724248087109	0.0557602844789	0.0270488021608	0.0086279050481	0.00487057277745	0.00209722004322	0.0068697504488	0.00557438887814	0.0172799992363
e	0.365245836535	0.440950006996	0.11784213993	0.0343572198292	0.018212859523	0.00448847625224	0.00167334988544	0.00104380631737	0.00272606144903	0.00190647324961	0.0115537582672
n	0.287169628445	0.389122925999	0.164985566737	0.0620639986275	0.0458774964906	0.0335751249912	0.00628900200984	0.003657433382	0.00159252571188	0.000716044735672	0.00495024397634
a	0.216384221928	0.3859372844	0.203073238312	0.0778076871665	0.0565619434843	0.0435823272514	0.007852912589	0.00453406760019	0.00118415711687	0.000318690699094	0.00276347460017
i	0.130367263829	0.5519128208	0.166807837311	0.0616278766622	0.0506697742299	0.0235906326551	0.00621573309332	0.00326506627265	0.00381284694582	0.000251814913635	0.00147834399924
v	0.0628000471363	0.524922006533	0.16230501825	0.0650937209074	0.0617689247346	0.0288891537375	0.018321216794	0.0156551215284	0.014338622635	0.0153138445617	0.0305923252267
ò	0.0384286351534	0.330477315044	0.368408299623	0.0811721065225	0.0443912602635	0.02497836482	0.0194274288763	0.0181996617867	0.0145008266627	0.0202055808648	0.0398105041766
s	0.0184770336238	0.186374774508	0.505396817074	0.114993188374	0.0648924880598	0.0322129683513	0.0186910767255	0.0152267334297	0.00898872195548	0.0102628480332	0.0244833206568
t	0.0191859741353	0.099210463768	0.478791683825	0.140342964325	0.0951818844399	0.0441285765542	0.034897498293	0.0203770765586	0.00853986891673	0.00760337408278	0.051740624731
e	0.0190606770796	0.0729278567067	0.386302941208	0.294017760108	0.08867034228	0.0373671030387	0.0293421407223	0.0137861256107	0.00464877533214	0.00330698238972	0.0505693049932
s	0.00832330729695	0.0560281749009	0.294239635069	0.406559164969	0.0964988728267	0.0494563287502	0.0236449584168	0.0193763293617	0.00479276320974	0.0133848153573	0.0276956383247
t	0.00917022725765	0.0280691245736	0.264801980356	0.389779720523	0.103771147542	0.0610191868034	0.0499378578219	0.0366525100298	0.0105374207271	0.018324322248	0.027936473969
u	0.00907729948606	0.019479976666	0.194332021689	0.468231004108	0.130378197247	0.0588831388078	0.0466422078546	0.0304047523491	0.0102220353845	0.00808715133718	0.0242621857703
d	0.00498084131866	0.0159955685702	0.120003426267	0.462938095656	0.172454703749	0.0698528922693	0.0407699779055	0.0336623382773	0.00995609313851	0.0461588002425	0.0232272431328
i	0.00359031699958	0.00949429663016	0.071485327409	0.438631414839	0.224239656583	0.0889139307564	0.0428983292152	0.0341594835711	0.0101683207051	0.0589460564269	0.017472855916
è	0.00186600160746	0.0123866041704	0.0579374122963	0.418298285813	0.278245527528	0.106404570519	0.0307044020984	0.0201820873557	0.0454352505936	0.0216425572669	0.00689727929338
o	0.0010426922716	0.0184379856138	0.0471691057274	0.299382604804	0.296389374509	0.166209357173	0.0567682533128	0.0300239063852	0.0659608445689	0.0150362925373	0.00357955618053
n	0.00131329629561	0.0141940546004	0.0303890372645	0.185557786401	0.280233204036	0.218651072524	0.0915833895643	0.0466757931217	0.0748089499796	0.0217161794559	0.0348772217093
a	0.00149572366769	0.00857910434433	0.0228812481044	0.154055921267	0.246026373212	0.273001272641	0.105670908221	0.0509702453739	0.0738508658465	0.0186850317543	0.0447833058665
