 	è	che	sono	usciti	</S>
è	0.481905751299	0.215396472651	0.0795013430921	0.0834590164268	0.139737398773
n	0.347054330802	0.32196599195	0.140744821736	0.138808012203	0.0514268158041
a	0.228631369709	0.472588663983	0.167217906845	0.108328765671	0.0232332960646
g	0.152471112878	0.475039160294	0.145927436748	0.212526435513	0.0140358801563
u	0.12835006104	0.360074335731	0.233248770583	0.254151266314	0.0241755784034
ì	0.0591043383051	0.294323118177	0.392845765688	0.204524257678	0.0492025231345
k	0.053048278854	0.186798348726	0.418670540523	0.278246183819	0.0632366439982
a	0.0583775982039	0.148182347339	0.421419624174	0.254228210133	0.117792225466
n	0.0408545692507	0.09892129375	0.498830426391	0.203685499844	0.157708216722
e	0.0285976274059	0.0544626996742	0.39635829693	0.237060622348	0.283520753207
</S>	0.0167313951312	0.0339382055634	0.240305030165	0.285344185474	0.423681189304
