 	non	aveva	cosa	a	fare	</S>
e	0.674996341517	0.0741536798035	0.102197737164	0.013214346445	0.00910308026	0.12633480375
n	0.476884778092	0.216938817801	0.142572176175	0.0297277897957	0.055678857874	0.0781975830711
ì	0.191489232807	0.4910275846	0.141897007738	0.0418274622909	0.0716863500106	0.0620723581279
c	0.0744296733323	0.577570279867	0.218257858259	0.078015987996	0.0298343475614	0.0218918576774
h	0.0638104968774	0.545948670956	0.27006696922	0.088224748172	0.0162257335538	0.0157233958227
e	0.0637756775974	0.432904340452	0.397907410073	0.0816587380907	0.00870407492193	0.0150497638823
t	0.037025318196	0.234683624584	0.503218906691	0.15361552083	0.0182104767446	0.0532461526361
i	0.0220648007312	0.154549077928	0.417052666897	0.302067041277	0.0321529564815	0.0721134641894
k	0.0104395208322	0.103849536732	0.264069662143	0.339768443626	0.159676545676	0.122196307174
à	0.00526398986478	0.052263499427	0.109915158412	0.216683442942	0.453976683941	0.161897229345
m	0.031416690951	0.0520133853893	0.123413974991	0.131388826114	0.550351961654	0.111415149708
i	0.0409550677041	0.0514033650732	0.12444678897	0.0883015013713	0.454736413291	0.240156867029
</S>	0.0221378483579	0.0277306008717	0.064910144944	0.0665332407856	0.432891943246	0.385796240014
