 	l	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.396485696705	0.317497363462	0.023991007217	0.00598343903	0.0677481922362	0.0250105112523	0.00402559871387	0.00440369124951	0.154854502461
c	0.227746809768	0.411052061867	0.0373553975857	0.0311131671193	0.0971793764334	0.0859361480458	0.0184603163003	0.022721751171	0.0684350005996
h	0.203039873905	0.403961841402	0.0483939971486	0.0439720346131	0.106632532659	0.0941464678508	0.0245362849852	0.0288311022069	0.0464859041036
r	0.215334652835	0.520725915201	0.0595893623229	0.0318252863835	0.0858466512793	0.0395394018694	0.00956749511925	0.00982801643252	0.0277432659608
ò	0.161155070092	0.6596899574	0.0761913894943	0.0228562635136	0.0455924474663	0.0179022709763	0.00336833475992	0.00328930546864	0.00995499615808
n	0.112754245281	0.614924428333	0.101919550498	0.0313649693912	0.0652474638357	0.0564290518373	0.00742602346927	0.00331634135018	0.00661793374189
o	0.0901099051026	0.422413784444	0.255119632366	0.0555463969037	0.0880502187502	0.0705713492965	0.00949297973333	0.00333542650247	0.00536029177736
k	0.0632740469885	0.320218332281	0.337641155989	0.0845608018346	0.0663537774474	0.0908617498046	0.00905046406639	0.0189610857708	0.00907857183367
a	0.0302892059326	0.250416944694	0.363774771863	0.123884728812	0.0834821090598	0.102407441908	0.00950694298353	0.0249184876253	0.0113193580372
m	0.0176506028387	0.208394638551	0.371782179888	0.145879907471	0.0922053117333	0.0682821323227	0.0171866563839	0.0578271897451	0.0207913685342
b	0.0300017904129	0.239484936504	0.277298565629	0.139505326817	0.0656722134942	0.121107024445	0.0211661460536	0.0735877877248	0.0321762209761
è	0.0349927243956	0.179890513041	0.279111042943	0.116341049332	0.156841244548	0.155504735559	0.0232347599829	0.0307071492727	0.0233768059963
n	0.0311505233642	0.102692525647	0.302067267714	0.115793231311	0.191324308829	0.147277580593	0.0330210020916	0.0485069618862	0.0281666146971
n	0.0532383644057	0.083142824969	0.244904484451	0.181190258564	0.11440179699	0.181094995998	0.0314700419305	0.0796786330997	0.0308786009407
i	0.0463157399051	0.0520782923858	0.142482080497	0.228230318581	0.176993696397	0.204241476733	0.0684233535768	0.0607874308739	0.0204475995508
è	0.0174813837675	0.0220088466899	0.077360387019	0.192191021994	0.303358998799	0.209212917578	0.109460508586	0.0390107850181	0.0299151414204
n	0.0190684521431	0.0248769916812	0.0804521921263	0.156836495931	0.2838321698	0.225489578526	0.110594709289	0.0660782291388	0.0327711857871
a	0.020109636359	0.0262482133805	0.0777602708488	0.119937246397	0.219219456133	0.301861730175	0.132951661363	0.0800347010846	0.021877092492
f	0.0151623968087	0.0169639599669	0.0504183378763	0.074804493219	0.176284548138	0.371026131392	0.168036944121	0.103370211622	0.0239329810985
à	0.0127870560974	0.0111802155266	0.0326833501221	0.049223722393	0.152548074139	0.385740326464	0.209726106707	0.111055635453	0.0350555306488
o	0.00442011522322	0.00466813769198	0.0127607170276	0.0288438701917	0.1320898557	0.299811610728	0.362275447769	0.115486180444	0.0396440862749
p	0.00211725088206	0.00248502072274	0.00608604067751	0.0173098694826	0.0676455720333	0.196889844616	0.44924837899	0.229771906315	0.0284461159636
o	0.00147981834933	0.00375377590412	0.00397388341304	0.0166818416714	0.0384117260698	0.192146677039	0.452061889263	0.263116428038	0.0283739532212
d	0.00253258524963	0.0124085469778	0.00863210642775	0.018136577881	0.0513391030019	0.18875892838	0.447089661154	0.236467635746	0.0346348466204
d	0.0232760363714	0.0189944113998	0.0112297700569	0.020318244425	0.047385139594	0.182475341393	0.398986730071	0.265352803582	0.0319815044735
h	0.035548694289	0.0144979529236	0.00900641071297	0.0187182419177	0.027895126694	0.152032639464	0.34737217951	0.306647843261	0.0882808910045
à	0.01929661711	0.00711390433654	0.00662068959331	0.0094502731199	0.0197875522173	0.0957823947773	0.292654926837	0.35107287826	0.198220755762
g	0.00777140353346	0.00790796709652	0.0129552725254	0.00908528940063	0.0393708526091	0.0714151927884	0.309080615212	0.358154224327	0.184259190481
l	0.00514193400619	0.0101951537515	0.0160883714135	0.0109154553389	0.049292014535	0.0698646422228	0.359298674004	0.376436402242	0.102767347032
i	0.00322153975143	0.00551204077502	0.00664449107853	0.00615390226777	0.022228015541	0.0457436005614	0.304430839268	0.404127421034	0.201938147322
c	0.00130182949899	0.00768720117956	0.00755228375387	0.0275645288271	0.0373629176617	0.0402641366876	0.227361971876	0.407618207498	0.243286929841
è	0.000657416266541	0.00841330292601	0.0077502397375	0.0345227322214	0.0429269768259	0.0338822968492	0.282162424479	0.413841757853	0.17584284548
a	0.000774215377407	0.00293728691548	0.00361583676066	0.0130459762285	0.0171669533971	0.0171627890901	0.264325655626	0.377308603638	0.303662666627
</S>	0.00114319476694	0.00160722181378	0.00322780579225	0.00864783608628	0.0109021198692	0.0140776503257	0.196466585313	0.336397533819	0.427530030314
