 	le	melanzane	vogliono	ee	girate	</S>
t	0.518611671466	0.247230171861	0.0622448197142	0.0110323386395	0.0217972684552	0.139083745239
e	0.458109171402	0.440023144963	0.0232572762803	0.00705970126847	0.0153605237858	0.0561902113404
s	0.407962913962	0.468631274588	0.0121102208192	0.0205889932422	0.033766614941	0.0569400019617
m	0.414727908035	0.450016441729	0.0155082343354	0.024830988121	0.0392859148469	0.0556305048727
a	0.319551617465	0.583709159176	0.0301918365301	0.0116639659969	0.0139101639885	0.0409732647362
r	0.198906381542	0.641507250392	0.0431826124994	0.0285461491806	0.0369184136825	0.050939219945
a	0.14510171817	0.662941198797	0.0711867824298	0.0398107553089	0.0443222316764	0.0366373335892
n	0.0693595996893	0.650567135972	0.0888407611099	0.057776471123	0.0637400025344	0.0697160412562
g	0.171348756473	0.456261584097	0.111152336217	0.080388167503	0.0756598842886	0.105189278697
i	0.230546393196	0.430644843299	0.178222532586	0.063566572883	0.0316367856651	0.0653828826322
à	0.10610833965	0.492731203966	0.271515568097	0.088398742401	0.0128511476486	0.0283950054581
n	0.054931652846	0.344996067535	0.33410857904	0.171892474667	0.055341619598	0.0387295963953
e	0.0504845223308	0.255858459992	0.39653827184	0.184667396022	0.0693835251533	0.0430678102842
t	0.0352876377769	0.219290117254	0.461666697853	0.165330144474	0.0870021479118	0.0314232446338
è	0.0250999719353	0.190296949471	0.416138086171	0.230811335091	0.103974163051	0.0336794772646
l	0.0406012512609	0.17976566782	0.341842459304	0.261000670364	0.112507383744	0.0642825423882
u	0.0433416008164	0.145292236093	0.260132001635	0.318905277455	0.137319873715	0.0950089914961
n	0.0265065551245	0.108089194888	0.155820054485	0.427146596752	0.210414211105	0.072023379012
e	0.0158945202335	0.081688255548	0.098415149635	0.485403471184	0.255322982902	0.0632756150507
e	0.00816294337807	0.100040871308	0.0610748831783	0.551686875061	0.216094639167	0.0629397853569
e	0.00299830192518	0.100998667871	0.0332304368194	0.578530978354	0.233613447722	0.0506281669256
v	0.00263534235358	0.083995631401	0.0262938995938	0.474813692585	0.365346350374	0.0469150879285
o	0.00275525199173	0.0491422955163	0.0591229166206	0.341274825862	0.421366803258	0.126337911529
t	0.00268329924549	0.040614145921	0.0751086224555	0.270244694087	0.445614768619	0.165734468276
i	0.00240378129419	0.0288867918915	0.0571024434985	0.216138512429	0.450616201006	0.244852271192
m	0.00183466904209	0.0156633595534	0.0444813955662	0.140260016623	0.519767491535	0.277993062971
m	0.0253028514534	0.0150161908891	0.0820287175554	0.0752268858343	0.602358865845	0.200066479545
è	0.033163968752	0.0103436987249	0.0882070277145	0.0515580873581	0.544871471282	0.271855744496
n	0.0644463333592	0.00819266173937	0.0339271818342	0.0584012104127	0.570097248827	0.264935367125
e	0.0769987793225	0.0084473820742	0.0172918090736	0.0598357798562	0.424512499676	0.412913756668
</S>	0.0430103743799	0.00660399695492	0.0120360105901	0.0419907067661	0.266256613338	0.630102305334
