 	non	ci	dimentichiamo	mai	</S>
e	0.626834521539	0.192188370683	0.0348032910574	0.0311101005237	0.115063744738
n	0.458482680374	0.319820398761	0.104818841259	0.0221806341877	0.0946974678663
è	0.299290990473	0.473892265587	0.125244068446	0.0137877116466	0.0877849991542
n	0.247568906116	0.569407526262	0.104153698929	0.0427480051222	0.0361218931941
a	0.168521667156	0.662284961154	0.097456364063	0.0527178680854	0.0190191360592
a	0.0737325041104	0.649500755051	0.223244524014	0.0425481797985	0.0109740274213
l	0.0282484876935	0.382288142884	0.426242577639	0.153033102705	0.0101876983657
l	0.0217122053885	0.304689227428	0.439818024581	0.218322037562	0.0154585163172
i	0.0248913798724	0.331595961476	0.40542101798	0.165102530421	0.0729891232477
m	0.0219625989655	0.256794484399	0.417607847573	0.21625743178	0.0873776618159
o	0.0341215106169	0.25721476844	0.375354334351	0.252514105867	0.0807952928986
n	0.0353805985109	0.234458476467	0.321281847537	0.326670500029	0.0822085659729
i	0.0230805457424	0.145479289062	0.345221325312	0.415230819323	0.0709880132443
s	0.0166853968276	0.098712445314	0.355192368984	0.441948606154	0.0874611732348
t	0.00890663305273	0.0680695086313	0.353882289995	0.457496640051	0.111644922945
ù	0.00584741926154	0.0430633270484	0.33085250651	0.480909295299	0.139327450648
m	0.0185794156914	0.0885984503808	0.220791044208	0.565314482782	0.106716598283
e	0.0246183522109	0.103062692055	0.166162298306	0.539719845307	0.166436798628
s	0.0153607197515	0.0475607996663	0.155711616478	0.577011182416	0.204355678523
t	0.0134011665072	0.0320939841648	0.124984413919	0.631550082805	0.197970356821
a	0.00876703790086	0.0181260154035	0.123653139079	0.484093855602	0.365359953474
m	0.00619395360128	0.0159332308737	0.119497338641	0.508283700534	0.350091778891
à	0.00524669099299	0.0172834469443	0.120877353365	0.601223875045	0.25536862643
i	0.00349629106212	0.0106207674396	0.0904562346403	0.484267973882	0.41115873521
</S>	0.00361654849595	0.00875300012743	0.0478753357752	0.411274744941	0.528480388605
