 	mia	figlia	vuole	andare	</S>
i	0.476017466189	0.32407288004	0.0432635806286	0.0100887799095	0.146557259155
k	0.35407271009	0.461967704973	0.0687221584935	0.0293043386328	0.085933068541
i	0.25391874083	0.564999827658	0.0932535758332	0.0326324766209	0.0551953658535
a	0.121939071363	0.607675735993	0.212101827413	0.022485546167	0.0357978034498
t	0.135864366474	0.435664943371	0.277689123138	0.102031043966	0.0487505109487
è	0.195451354038	0.415630943724	0.231039439913	0.119662865975	0.0382153895378
r	0.188985779426	0.500811419241	0.222476985238	0.0609987791517	0.0267270431435
a	0.140161419278	0.49447196228	0.296184504146	0.0437879341939	0.025394182481
m	0.102672913096	0.46638532018	0.309370109649	0.096045479008	0.0255261759015
u	0.0873221970775	0.397933167347	0.36531152415	0.121230375896	0.0282027357138
i	0.0410241977118	0.242350898602	0.591367315383	0.097587628592	0.0276699545599
t	0.0175443850625	0.117116020381	0.603633119994	0.186873192397	0.0748332797286
è	0.0123816136006	0.0913216369483	0.517951313531	0.283425074399	0.0949203620829
l	0.0324410527985	0.131171148731	0.421425578377	0.340860956133	0.0741012646943
i	0.0411497591084	0.145233226082	0.284901465326	0.383565794711	0.145149756898
n	0.0244193307067	0.0729899692616	0.229976100842	0.469503936904	0.203110662966
a	0.0162898954421	0.0390608980893	0.198145988281	0.519845058301	0.226658157122
p	0.0112873896182	0.0276446437512	0.164179506615	0.5614842141	0.235404245267
à	0.0073062742113	0.0101703460824	0.11414028778	0.665015142033	0.203367947182
i	0.00389158597548	0.00425422152078	0.0723922915133	0.601121145731	0.318340744594
</S>	0.00391550488147	0.00281657095536	0.0520579991566	0.500138365445	0.441071546297
