 	non	ho	dove	d	andare	</S>
e	0.670426448838	0.0767005603487	0.0101033658967	0.0986960920661	0.0132523526801	0.130821176402
n	0.478754615533	0.150589522983	0.130265619426	0.120590355992	0.0276952862894	0.0921045900936
è	0.229462476498	0.371320758994	0.212494337075	0.0753963235563	0.0321404826766	0.0791856034853
c	0.117793144619	0.431162825105	0.218335583312	0.142449204387	0.0563819105923	0.0338773187444
h	0.0775352911463	0.368874769142	0.260869838524	0.163631793652	0.0652111240094	0.0638771898567
o	0.0706930506383	0.326603039781	0.409540503708	0.099176103544	0.0248329312871	0.0691543852595
p	0.0381390700335	0.170521616814	0.518240136463	0.166608435661	0.0655061223344	0.0409846268371
u	0.019171851537	0.0869222656647	0.459451471914	0.295928481434	0.0970166033715	0.041509324311
è	0.0118256872205	0.0496887671356	0.316064282638	0.375529335325	0.210351820784	0.0365401040423
n	0.010467287463	0.0391330236659	0.182845614079	0.349109048688	0.376410377495	0.0420346395608
a	0.0156198545693	0.0473104232028	0.168110909651	0.273338354863	0.423728802898	0.0718916445869
p	0.0120681611856	0.0336359807644	0.14640016205	0.216836366888	0.499924985699	0.091134352929
à	0.0051140068545	0.0136732795433	0.0936032031357	0.191702632729	0.5976339609	0.0982729298763
o	0.00265818909779	0.00529298831674	0.0423441005075	0.19423703896	0.516679186333	0.238788490125
</S>	0.00217442324475	0.00324335342305	0.0265825351822	0.196966379555	0.401354802216	0.369678486663
