 	che	vende	buon	pane	</S>
k	0.498745747481	0.17674284323	0.147429820266	0.028939127437	0.148142458345
a	0.469713065427	0.34394640361	0.099303728042	0.023239129555	0.0637976723917
i	0.317958631462	0.492620563203	0.115365664674	0.0374087556917	0.0366463953227
p	0.137931438558	0.459238257468	0.277983661398	0.102874134711	0.02197252333
u	0.102089653263	0.478174940889	0.302627276666	0.103855464248	0.0132526776169
l	0.084544110071	0.491329445716	0.313712466222	0.093510015094	0.0169039563592
ì	0.069429002207	0.343580401992	0.439657367207	0.123200526438	0.0241326888564
t	0.069085944169	0.279862580264	0.508307647736	0.109621303086	0.0331225226979
s	0.0761107117803	0.272396048355	0.393572206579	0.171953761902	0.0859672749884
o	0.1087741658	0.218500415252	0.23443168166	0.256999212401	0.181294528603
m	0.0876537666466	0.126525379151	0.319384633353	0.30603774196	0.160398493134
ì	0.0445726482854	0.0764065863637	0.393673797384	0.327719267853	0.157627712938
k	0.0297584194571	0.0654385275012	0.453796744728	0.292720230618	0.158286077646
a	0.0470371325751	0.0658365015553	0.380424499906	0.314750447973	0.191951415549
l	0.0479403720698	0.04190429094	0.298944199165	0.402685074091	0.208526071283
ò	0.0203917962988	0.0207825430943	0.279060008462	0.388619977364	0.291145688528
</S>	0.012387014855	0.0110270101685	0.191781686041	0.324608721682	0.460195574264
