 	non	sono	andati	</S>
e	0.647784279426	0.185112188862	0.051715553447	0.115387985935
n	0.459370319135	0.313898934221	0.122684236967	0.104046520456
è	0.207724851665	0.568149316074	0.124079082442	0.100046754925
c	0.143228399084	0.654405641145	0.165237479601	0.0371284895329
h	0.176910074577	0.499794447502	0.249169213164	0.0741262573926
u	0.201782234477	0.442396575167	0.207573375818	0.148247794717
n	0.138228509288	0.426985164056	0.298144408273	0.136641914439
e	0.0761211283135	0.367182609219	0.376257886824	0.180438368746
p	0.0462117713708	0.247200762054	0.502224397675	0.204363074982
a	0.0309819171588	0.139438536786	0.560331513692	0.269248050794
m	0.0277891066338	0.0917205729587	0.559230710364	0.321259612485
è	0.0143028152887	0.0493897743652	0.670252787455	0.266054620648
n	0.0146292135457	0.0331504691507	0.693424787818	0.258795538616
a	0.0160124592534	0.0298637238745	0.496074131506	0.458049693672
</S>	0.0142890295469	0.0310535496337	0.279655383103	0.675002035836
