 	non	li	aspettiamo	più	</S>
e	0.470027837376	0.325690135604	0.0138162041282	0.0847707105466	0.105695107799
t	0.264911688259	0.481636776401	0.11437170404	0.0907681905102	0.0483116242712
u	0.118809574066	0.605966184667	0.185207061811	0.0610627027365	0.0289544636605
s	0.060926459304	0.569400205289	0.300826993537	0.0443881067521	0.0244582450541
m	0.0547385109367	0.442626065696	0.434752018712	0.0398509111282	0.0280325063703
è	0.0572012225856	0.432512106232	0.408052656737	0.0485927201401	0.0536412983108
n	0.0367671283525	0.408561983944	0.355513411106	0.130969173673	0.0681883070276
u	0.0323581796703	0.326273286648	0.335405656822	0.204326537578	0.101636344005
m	0.0458959897002	0.265366605749	0.333718891861	0.236156338133	0.11886216251
e	0.0449568623769	0.224985188316	0.23499375638	0.345396658044	0.149667510297
p	0.0246383067259	0.128569530507	0.13579383026	0.546568853348	0.164429449159
l	0.0101269531788	0.141270638024	0.197930837393	0.557390982449	0.093280557233
è	0.0106568312128	0.125215839037	0.237608153364	0.538844554816	0.087674617551
o	0.0111470849982	0.0465392076382	0.13562342261	0.626234598272	0.180455688184
</S>	0.00796266266814	0.0261939300949	0.072985923248	0.635731750136	0.257125718392
