 	forse	sono	usciti	</S>
f	0.686852808363	0.077587625824	0.0413619098994	0.194197605541
ò	0.753686156788	0.126558830586	0.0489942418359	0.0707607278951
r	0.595808950663	0.241554621507	0.125173888404	0.0374625162832
s	0.417018941664	0.355035953902	0.170504071312	0.0574410185771
i	0.372730839032	0.443288322367	0.109153965037	0.0748268507424
e	0.256922512861	0.523976637189	0.154032310699	0.0650685197043
g	0.177689683172	0.417515545263	0.32777716168	0.0770176088316
g	0.20631026163	0.330795213454	0.385207297993	0.0776872375305
u	0.182807947161	0.282734919585	0.354635960098	0.179821175964
ì	0.0851381557445	0.208066555222	0.434575463433	0.272219822521
k	0.0470969456375	0.279210094014	0.466649296144	0.20704366124
a	0.0328624400604	0.244919627465	0.334451501415	0.387766429613
n	0.0460796319997	0.166424631702	0.259733483172	0.527762262538
e	0.0487189153042	0.130732149288	0.216775424201	0.603773528846
</S>	0.0264107025911	0.068367701425	0.144444477815	0.760777136423
