 	credo	che	stanno	ancora	svegli	</S>
p	0.69500737504	0.0626528277004	0.0224206449426	0.0268762294836	0.0165410498115	0.176501886035
i	0.65665587768	0.1533938899	0.0713912121142	0.0272341207952	0.0244002378454	0.066924679189
s	0.450419537027	0.26286711874	0.112661049171	0.106386538413	0.0300540887102	0.0376116814634
t	0.443025351809	0.264415097553	0.113228797964	0.127279358435	0.0171175880277	0.0349338263748
è	0.517357964683	0.280901102978	0.124802001428	0.0442977732681	0.00617159907465	0.0264695596412
o	0.339401620868	0.357208972653	0.195311879476	0.0650941369012	0.0305405744427	0.0124428077338
k	0.152005682936	0.340075592551	0.268868538225	0.150566306561	0.0768796904555	0.0116042047453
a	0.0999268915523	0.284209897717	0.399758797808	0.141664527528	0.0649236683096	0.00951621444743
s	0.0701229854044	0.234957733879	0.490315351936	0.148707584649	0.0418112297455	0.0140850964708
t	0.0867482944015	0.185583429	0.488572198645	0.16476857455	0.0341251325209	0.0402023661117
è	0.142758920663	0.165092900017	0.437705875548	0.18618949299	0.0239254850198	0.044327309416
o	0.110421402979	0.119064198661	0.303629705983	0.351823469043	0.0899957590039	0.0250654329276
n	0.0754401085685	0.061665248805	0.248480818061	0.400254652414	0.160862971007	0.0532961833448
e	0.0625151956055	0.0515899263028	0.262980550338	0.397110592871	0.164167248354	0.0616364793749
a	0.0316354928599	0.0367416593116	0.21600376807	0.471101625624	0.205500350725	0.0390170966636
n	0.0185693440241	0.0176325721493	0.132200991342	0.431357328128	0.265663268868	0.13457649414
k	0.103962632943	0.0565968105658	0.126114552993	0.280881316029	0.239211168383	0.19323353895
ò	0.151493715385	0.0738294454223	0.158413302438	0.23531583441	0.238249254688	0.142698471233
r	0.0767603112121	0.0376758961212	0.13995314492	0.304055518803	0.314215662896	0.127339466798
a	0.0349708289761	0.0288484905274	0.136488499331	0.311641332568	0.367525115299	0.120525731686
a	0.0203726104458	0.0241124428194	0.124604751193	0.252621366089	0.475565509033	0.102723326629
t	0.0366629134823	0.0248061910171	0.0711220753548	0.18820385323	0.501327223311	0.17787773681
s	0.0906559623101	0.0273275544731	0.0803134714703	0.15092471761	0.366722253537	0.284056028963
ù	0.0850796467677	0.0158964995291	0.0763694988301	0.12540391893	0.366237189579	0.331013247281
n	0.0295895793181	0.00726178772068	0.0323776018011	0.0857572942667	0.458101276993	0.386912467294
n	0.0770157589005	0.00802368945183	0.0163557848358	0.0560016323056	0.442561062664	0.400042069631
i	0.0927612245092	0.00683212661303	0.0109718168645	0.0514168464885	0.436901066488	0.401116915544
t	0.0744497500334	0.0209754300175	0.0116152838177	0.0547786625162	0.402772008469	0.435408872495
i	0.0679977571758	0.0261075908904	0.0135370516218	0.0462518413047	0.234772821663	0.611332942812
</S>	0.034154517704	0.014375931618	0.0109365322228	0.0336513368214	0.136476592231	0.770405091406
