 	non	aveva	dove	aveva	per	stare	</S>
e	0.681896095877	0.0961438190182	0.0112478997094	0.0174665899746	0.072382595624	0.0283621191362	0.0925008953904
n	0.499356336359	0.191103041739	0.0521785416565	0.0585675211722	0.100783547503	0.0392226320108	0.0587883702422
ì	0.225018979846	0.45557010878	0.0880007022482	0.0782129693885	0.0651647819424	0.0407063356022	0.047326106867
c	0.0883899142353	0.567556183593	0.102985213081	0.0961381714473	0.0950635851365	0.0316405904601	0.0182263297729
h	0.0679157063518	0.502387005198	0.152786106329	0.126637281839	0.10845551345	0.0279056655716	0.0139127120557
e	0.0632178732638	0.383209681866	0.330453155776	0.15490382664	0.0454555042567	0.0108243332174	0.0119356271355
p	0.031055872526	0.186186046809	0.438425157798	0.189227430907	0.0971219317322	0.010368819273	0.0476147361695
u	0.016189936766	0.0979924426901	0.363052525805	0.302606295236	0.141996601644	0.0180508123114	0.06011138004
ì	0.00956024284757	0.0620023784167	0.250689334202	0.467912229745	0.143877453855	0.0255709216888	0.0403874382333
c	0.0115501445139	0.0595388415489	0.146521425627	0.447744353135	0.176407232725	0.107643681362	0.0505943200173
h	0.0220518373069	0.0553035817736	0.114903934569	0.333920115972	0.251002673975	0.167735442059	0.0550824132711
e	0.0194280596513	0.0324494091018	0.111041748143	0.277238721457	0.357599829325	0.134716754493	0.067525481249
n	0.00942895643205	0.0191232827239	0.0938401857143	0.211476769492	0.447735048442	0.144601084094	0.073794676443
a	0.00503589494971	0.0163596850839	0.0988354773158	0.160821734484	0.428337985481	0.211788966928	0.0788202443077
s	0.00697237099624	0.0189748549554	0.114356271146	0.139927063061	0.37235555916	0.245495649419	0.101918219216
t	0.00995309397881	0.014987499552	0.108281085545	0.0897048236737	0.355013783187	0.286068350476	0.135991374092
a	0.00713686160547	0.00829321695585	0.0897287102988	0.0482131820532	0.240314278462	0.379543395532	0.226770366404
t	0.00412464067229	0.0136755228765	0.0777537410436	0.0491485417464	0.112835856865	0.463351104587	0.279110599921
ì	0.00336876371551	0.0133884581733	0.0573235285403	0.0393223216019	0.053367290033	0.354573503363	0.478656146027
</S>	0.00331678127358	0.00689619777633	0.0303465956885	0.0211985512405	0.0371768864665	0.205420677178	0.695644323013
