 	vuole	pianto	</S>
i	0.804666097198	0.052482145055	0.142851786871
t	0.734856090159	0.196636003482	0.0685079508501
è	0.654774219146	0.296421244727	0.0488045731262
l	0.709866538382	0.242784618629	0.0473488621922
i	0.572734585514	0.331684596063	0.0955808327169
k	0.402980092678	0.482999372754	0.114020560206
l	0.313355650851	0.591990933518	0.09465344316
a	0.178833483842	0.583794045439	0.237372479731
m	0.07146691526	0.611536737146	0.31699634369
m	0.0893829563407	0.670595978649	0.240021078753
è	0.120700104821	0.525952301156	0.353347609328
n	0.2101262868	0.410831463692	0.379042239309
o	0.207074529302	0.341205061122	0.451720393303
</S>	0.104680356984	0.270148621448	0.625171010652
