 	ho	messo	uno	specchio	sul	muro	</S>
è	0.414091265619	0.345857909471	0.0400190827063	0.0168850887031	0.0489381697939	0.0161851481313	0.118023328911
v	0.249227470613	0.51540258905	0.0452819510597	0.0811050219564	0.0481392771628	0.0153219361303	0.0455217572871
a	0.205986601904	0.554726252422	0.0952554633532	0.0991721648341	0.0191728787905	0.00746590351599	0.0182207363634
l	0.194434228572	0.437548660386	0.194081843051	0.136358940296	0.0195129014082	0.00469654479746	0.0133668744384
a	0.229495126397	0.238936500829	0.303119631617	0.183476849299	0.0275076706694	0.00384264477763	0.0136215687853
è	0.160679682218	0.169235533217	0.393333908904	0.177587023721	0.0892438832298	0.00179798527759	0.00812198339825
n	0.0651142327133	0.106835002513	0.377765518666	0.246757582128	0.166464200023	0.026686225217	0.0103772514863
a	0.0999355064414	0.0519533556992	0.284729834622	0.348520556043	0.166973062488	0.0352275356777	0.0126601597873
n	0.102285642569	0.0251827029346	0.215291571761	0.398394838948	0.138485389109	0.0992348339332	0.0211250347823
j	0.0735866506323	0.0550575917049	0.182690563807	0.298445828249	0.196249720316	0.130727945211	0.0632417299001
a	0.0953279972878	0.0805926249373	0.138293915822	0.227521436683	0.298265556972	0.0791264068657	0.0808720718734
l	0.0708830704103	0.0576454488325	0.150002427544	0.249984614228	0.254601703591	0.167045180822	0.0498375459911
ì	0.0335374747088	0.0350390055052	0.129083321407	0.218992905938	0.238297815664	0.283777915354	0.0612715545304
s	0.0378680602386	0.0244184840497	0.0672568463917	0.154145005775	0.281609760488	0.340124834651	0.0945770007768
t	0.0632318354805	0.0213886224114	0.0482605619659	0.114298317836	0.356409911763	0.26589216945	0.13051856322
o	0.051716909196	0.0142410175745	0.0276898128336	0.080104621256	0.405515579821	0.199036984317	0.221695055234
t	0.0257572079312	0.0144462454371	0.0530995020529	0.0652150845187	0.271176981056	0.374769259106	0.195535714025
ì	0.0147536020023	0.0115249444811	0.057768679375	0.0532135427236	0.174866937975	0.534487857702	0.153384435248
c	0.0107899933364	0.0697463459953	0.0321074787883	0.0863107007385	0.133532569587	0.522331144058	0.145181774774
h	0.0646562852465	0.101993769964	0.0372253269528	0.104767228056	0.212501902584	0.370814424843	0.10804108975
o	0.0778099423561	0.0490160775963	0.0275339243366	0.046132368834	0.2423391933	0.247665500054	0.309503011078
</S>	0.039960027598	0.0265376323788	0.0154128085488	0.024345721995	0.154626296008	0.242502936687	0.496614576539
