 	deve	essere	bianco	</S>
è	0.536739750031	0.313897303902	0.00431957850781	0.145043366127
n	0.415732912877	0.508754742748	0.0176710936625	0.0578412685392
a	0.300830454859	0.640653324916	0.0301677439235	0.0283484840729
è	0.155831628817	0.763196014972	0.0688757016932	0.0120966573834
n	0.074388347907	0.737565728991	0.143564746077	0.044481172653
e	0.0669383301089	0.68536006233	0.173083069386	0.074618524631
à	0.0464225583712	0.64135669873	0.254266282344	0.0579544619168
s	0.0204554257933	0.447251075863	0.44558338397	0.0867101093254
p	0.0337186994667	0.209546032126	0.567754337723	0.188980916261
r	0.136988231985	0.08095943376	0.504831371841	0.277220954752
o	0.151944978787	0.039790538906	0.367307146127	0.440957334329
</S>	0.0799969414343	0.031062417112	0.310660043034	0.578280602164
