 	lo	sentii	ee	che	arrivava	</S>
t	0.585522756693	0.115125511446	0.0572639070901	0.0093527787005	0.0702890705693	0.16244596419
o	0.467908531347	0.294645605349	0.11613426712	0.00911677566417	0.0554223907784	0.056772429848
n	0.308632133919	0.306844710183	0.23663837146	0.0860508863214	0.0366814320733	0.025152456537
ì	0.178615902278	0.305289428594	0.35824272788	0.113320712154	0.0307399861965	0.0137912400605
k	0.157805935541	0.320534397998	0.36061282416	0.0804176929213	0.0376659223593	0.0429632359237
u	0.234891710765	0.281417198999	0.30858787212	0.0776066725971	0.0405134220736	0.0569831323997
s	0.189482760273	0.271700578333	0.312699779707	0.174683616152	0.023060301819	0.0283729508774
a	0.0862616722629	0.201167023078	0.422541378036	0.253251570717	0.0193794912539	0.0173988427466
e	0.0325908116179	0.144447434245	0.508728929345	0.281681445572	0.0184583629375	0.0140930054282
e	0.0119916154406	0.063669854715	0.463154080448	0.420083769524	0.0276253001125	0.013475383354
k	0.00991507229819	0.0367620754639	0.315773992793	0.468762947748	0.151552810504	0.0172331132541
a	0.010149128971	0.0245129160154	0.175648671508	0.431908089156	0.319560668901	0.038220526778
è	0.00483083402224	0.0115233542237	0.1158620081	0.397644670012	0.425759419167	0.0443797245393
s	0.0187711541694	0.00955734997803	0.0881948942576	0.352937603431	0.488676474456	0.0418625368598
t	0.0330768743047	0.0127349631833	0.0643135527752	0.362674747257	0.361400726492	0.16579913642
a	0.0209506217123	0.00866328673141	0.0325522367667	0.272591194539	0.304164128304	0.361078527073
z	0.00972266625195	0.00574690830478	0.0172212832145	0.180548957453	0.449593974368	0.337166208224
z	0.0833756725926	0.0156578472316	0.0251877690308	0.230594927218	0.393134460731	0.252049326648
e	0.105453619386	0.0162375007497	0.0219938228345	0.165942454926	0.253031976585	0.437340624923
</S>	0.0528118573701	0.00815192900861	0.0111172070845	0.084479729343	0.238637351292	0.604801919461
