 	che	consuma	poco	benzina	</S>
n	0.473089225748	0.202324308251	0.122116114066	0.0227892477484	0.179681078575
a	0.385056482316	0.404347020457	0.126079831582	0.0098341516236	0.0746825058308
k	0.221026802979	0.512411720152	0.178173217221	0.0430029620968	0.0453853087746
o	0.1134258382	0.626685672717	0.169585490354	0.0540025500811	0.0363004528713
n	0.0776184872907	0.692250911706	0.102924363011	0.0972485680512	0.0299576687636
s	0.101139796521	0.661217222035	0.0913161514017	0.11322989336	0.0330969343765
u	0.137932516662	0.681154036678	0.116143138859	0.0405079131516	0.0242623894391
m	0.091729352049	0.628465360226	0.17989645224	0.0786788918839	0.0212299481013
è	0.044021761699	0.624133797409	0.207380201533	0.0987514228413	0.0257128204307
t	0.0481085381423	0.563731901003	0.217774362804	0.129492229647	0.0408929630385
s	0.0642025386808	0.426643457534	0.238841598708	0.146097722615	0.12421468172
i	0.0662710293391	0.354412818091	0.340807946943	0.0707972895373	0.167710921033
a	0.0499236537219	0.216542319021	0.535144706514	0.0782131422018	0.120176187849
l	0.023927162942	0.093206658811	0.458454440838	0.339991153023	0.0844205838541
ì	0.0151879846568	0.0749899194103	0.300070768946	0.520926045954	0.0888252742647
o	0.00874890135775	0.0566753759214	0.311488352849	0.484992519691	0.138094843691
b	0.00417640923433	0.0854535022037	0.21015766679	0.58069394673	0.119518473182
e	0.00232198815698	0.0998478644421	0.16160134705	0.538288594783	0.197940207457
n	0.00165277061915	0.0400916280049	0.136962049363	0.595717352061	0.225576211819
z	0.0411456161687	0.0351903249703	0.0802502543877	0.66520384302	0.178209971673
ì	0.0558098956402	0.0352962479594	0.0801807736759	0.566024672673	0.262688417624
n	0.0267483352327	0.0738072098225	0.0587210205253	0.572172850358	0.268550608808
a	0.0182128084515	0.0925979950944	0.0354274513551	0.397288174186	0.456473607203
</S>	0.0138436849937	0.0593135340375	0.0247890552175	0.230115033993	0.671938734601
