 	i	genitori	non	li	dimentichiamo	mai	</S>
u	0.433429378329	0.212058269254	0.0451268552474	0.055111060855	0.033992251564	0.0411161416455	0.179166065702
g	0.361891390143	0.258208127945	0.117952997462	0.0753943620557	0.0576605582502	0.0391058572601	0.0897867219385
e	0.350827497308	0.294986300908	0.170513711107	0.0562353619652	0.0488664398904	0.0204076932844	0.0581629864307
n	0.270435453444	0.418046725369	0.143722228702	0.0387820932457	0.0491959606813	0.0192187798867	0.0605987341234
i	0.165219304021	0.503178837323	0.158532144567	0.0428424784526	0.0502758040333	0.0188152012692	0.0611362334735
t	0.119354800308	0.522600432981	0.147020867189	0.0594685280642	0.0892188922898	0.0195109713905	0.0428255289099
ò	0.0796652556267	0.45241489758	0.18116486733	0.107753980821	0.121136754181	0.0205434589395	0.037320789032
r	0.142176864302	0.32995704704	0.220561518123	0.123814755312	0.107497483564	0.0136900439524	0.0623022856504
u	0.15061539148	0.20845969742	0.331121590054	0.145184322076	0.0834663957917	0.0108468212455	0.0703057915931
e	0.0740731605881	0.153015938053	0.371897464018	0.278228143492	0.0903246171906	0.00636114163443	0.026099553263
n	0.0260020619858	0.107409486973	0.224634218366	0.324548863597	0.209490592264	0.0401024664585	0.0678123242667
è	0.0114659425543	0.0726483163997	0.163339925149	0.306505177632	0.298645031555	0.0643098338868	0.0830857865758
n	0.0661862530578	0.0740228076799	0.126028562136	0.295113385697	0.297949636918	0.0895982014849	0.0511011674675
u	0.0878045419133	0.0658233704381	0.154808669329	0.265593335719	0.265276970373	0.110094435971	0.0505986751778
s	0.0372095034174	0.0570711734882	0.149224273814	0.27110329284	0.258218251991	0.180350580993	0.0468229102259
s	0.0170875491357	0.0465899424667	0.0781923153447	0.246550840547	0.358933036664	0.197745807771	0.0549005089953
c	0.0314980363426	0.0422877130956	0.0872122010816	0.241672562849	0.383095070021	0.13653684289	0.0776975772718
e	0.0367157648843	0.0363270008659	0.0817665391112	0.212691737616	0.320511304494	0.184276169363	0.127711472684
r	0.0188077035975	0.024706758836	0.0471617579877	0.145960966899	0.337064431811	0.305246936621	0.121051440535
r	0.0155546556051	0.0176463690827	0.0252512303932	0.108262770126	0.367184365564	0.378309736207	0.0877908723917
è	0.0135376259801	0.00986061505877	0.0127792413111	0.068961161022	0.337113217591	0.444302432029	0.113445705131
t	0.0327991038512	0.00911684807046	0.0140908850044	0.0572229129673	0.262927657874	0.512758039036	0.111084554864
s	0.0469589637348	0.00997131030822	0.0156390581887	0.0604278430158	0.295854113298	0.413157876879	0.157990835015
u	0.0260457538562	0.00473990739209	0.00763761176434	0.0317356013813	0.295573918733	0.32538059356	0.308886614245
m	0.0277284329619	0.00479174122151	0.0088797342208	0.0228333263898	0.221234597218	0.43348633432	0.281045829815
e	0.0286739951479	0.00482242878239	0.00942490858732	0.0195267893695	0.202188108593	0.500275593747	0.235088171405
m	0.0111490470862	0.00232345342824	0.00471093319836	0.0117663779094	0.169851588637	0.569013043556	0.231185551315
à	0.00479277367047	0.00145248676842	0.00287443043352	0.0101702504405	0.155743948521	0.668488486185	0.156477618618
i	0.00241183387854	0.00114025454297	0.00191201515389	0.0180344236529	0.114924565797	0.565733398395	0.295843502606
</S>	0.00225243426184	0.00128941754536	0.00192281667392	0.0274012253996	0.0619001628585	0.464869786198	0.440364147303
