 	se	nella	nella	pasta	voleva	sale	l	avevo	messo	</S>
a	0.414686195728	0.197671975401	0.087683198569	0.04550237432	0.0260280142234	0.00185039228006	0.069494008647	0.00956909992936	0.00961651738574	0.137898230394
m	0.347864696021	0.287633411467	0.124250169456	0.0606841751313	0.0787935885458	0.00335703866026	0.0258454129325	0.00443836199252	0.0106972263216	0.0564359181896
e	0.198007844684	0.424759217222	0.202857296885	0.0454248994998	0.0821053600226	0.00397404458282	0.0112291500527	0.00273197067658	0.00817787620006	0.0207323360755
s	0.124717823368	0.466268962741	0.248624065628	0.0516528458106	0.0698520988515	0.00946554269101	0.00722273417847	0.00129930721002	0.00839376499092	0.0125028606224
t	0.099176653076	0.46933789258	0.190891685009	0.0619542373369	0.10452132509	0.028694705147	0.0257837634192	0.00093554794105	0.00883159023497	0.00987260258295
i	0.0585916566257	0.453618645527	0.288299267203	0.0556768380856	0.0790992149703	0.0276308013263	0.0285273264096	0.000437667604353	0.00332157631225	0.00479700892339
p	0.0418131505636	0.392842057842	0.349147767468	0.0699114994752	0.0818458525111	0.0180778740454	0.0232340330932	0.0087826149172	0.00625792151579	0.00808724267059
à	0.0480628698739	0.327086893214	0.351927227156	0.113031696158	0.095093067117	0.0159451272021	0.0215112582529	0.0116354314223	0.0072625940031	0.0084438497182
s	0.03366088874	0.286935325405	0.413468608385	0.149655186986	0.069907978159	0.010536396643	0.0150930599849	0.00775060950037	0.00685264512767	0.0061393187524
t	0.0199795344178	0.252785069928	0.336933317955	0.177824140315	0.103974987803	0.0271978991085	0.0615602988063	0.0063998562566	0.00670034636894	0.00664456989211
a	0.0154785575605	0.166151731616	0.316017423145	0.220506330825	0.144745435511	0.0576939550392	0.0698419364261	0.00250577495646	0.00250451386316	0.00455434673669
ì	0.00841611466867	0.0849721950621	0.283719698915	0.230517683875	0.279566803104	0.0601520025253	0.0245149645085	0.0015885606231	0.0184532536362	0.00809871960354
c	0.013011888349	0.0599242434775	0.161367707952	0.194546693158	0.394904883701	0.038736402685	0.0527161970886	0.042703305147	0.0294766588516	0.0126120241571
h	0.017778608326	0.0487250158725	0.131580088164	0.233312070479	0.319037364034	0.0488648143417	0.114228332674	0.0578848478443	0.0160492045492	0.0125396713784
e	0.0105288153668	0.0297193845974	0.135476972628	0.256078391386	0.264384372878	0.162434716459	0.09845192352	0.0248510478664	0.0087585912236	0.00931579888071
t	0.0143067129177	0.0310572676417	0.113901210249	0.243276747995	0.246587204893	0.212786408565	0.0583179419447	0.0549167386331	0.0181509806875	0.00669879450068
e	0.0153038048774	0.0324788232941	0.103851880564	0.213113190666	0.217885354351	0.249766976255	0.0674046469816	0.0732210328677	0.0212488998347	0.00572540400358
l	0.00845717909035	0.0250576855763	0.0879678711187	0.159851783154	0.205582178704	0.265488595338	0.0835587571272	0.108691452589	0.0421665949313	0.0131779042512
ì	0.00636911162945	0.0231453116745	0.0614778393089	0.137633660982	0.189490479701	0.224148619646	0.121219922936	0.14634434633	0.0693416213056	0.0208290809484
