 	vado	cercando	una	macchina	che	consuma	poca	benzina	</S>
p	0.75801459748	0.119067651136	0.0008991829724	0.00387411579	0.0004634651696	0.000679700527405	0.00312177576922	0.0147608887478	0.0991186123478
à	0.73915719716	0.203103787979	0.0132628871755	0.0036756161079	0.000660699268867	0.000410796096487	0.00104967765046	0.00494463789445	0.033734710429
o	0.613471600653	0.334673125293	0.019619213701	0.0109385861266	0.00242027566889	0.000472204230864	0.000462769629108	0.0046005167871	0.0133417235552
c	0.403098957884	0.424679922418	0.0531672013595	0.0315265946483	0.0201454236992	0.0556422919111	0.000424351036428	0.00470544531974	0.00660982966317
e	0.272116828768	0.503541168306	0.0774257704865	0.0417954135474	0.0255017525921	0.0740068579103	0.000318590370604	0.00182599478308	0.00346764277454
r	0.176777110696	0.550811326969	0.0807028040622	0.0658675486338	0.0319657418934	0.067218656326	0.0012801163699	0.00146143240354	0.0239152620138
k	0.195418360999	0.478507061656	0.101078785867	0.0685105340153	0.0398343514981	0.0831822921499	0.00160619009558	0.00132119029463	0.0305412355887
è	0.269942242622	0.444962095885	0.164037012008	0.0398107405378	0.0222783208044	0.0473554743615	0.000563870112678	0.00045406723776	0.0105962053568
o	0.176291603354	0.341336065268	0.288893655255	0.132354975133	0.030853419259	0.0186024570291	0.00215941579285	0.00530985246051	0.00419857638865
n	0.0709466383128	0.251075201663	0.317112936532	0.203093395524	0.0498623080117	0.0796569167047	0.00534270858138	0.0201598060865	0.00275008043245
t	0.0474233677681	0.298504146621	0.278843428177	0.145804231608	0.0517588951506	0.150441552843	0.00456380579755	0.0199899654814	0.00267059991224
a	0.0396225738635	0.231469025054	0.356270382872	0.161406157956	0.0536946312969	0.146483548004	0.0017509223729	0.00675575739864	0.00254700106598
è	0.0483875586641	0.098954072798	0.449045987314	0.193612541985	0.0670791079123	0.105127052585	0.0192170406808	0.0025251068573	0.0160515209692
n	0.0533586396823	0.053000092246	0.407961329448	0.209074125728	0.0790643166374	0.110131086222	0.0340646724726	0.0324248895996	0.0209208489524
a	0.0242066352949	0.0357954013553	0.28535952304	0.330418476976	0.0995474608125	0.151576903784	0.0215437894632	0.0430474299065	0.00850439845587
m	0.0295810665537	0.0301780705318	0.205903597224	0.360608414059	0.120471291338	0.177307595241	0.0187075428151	0.0523367675221	0.00490564768445
à	0.0302902858196	0.0260661054706	0.167719349649	0.335825445886	0.129351153246	0.22114050432	0.027428562755	0.0551772276267	0.00700133617448
k	0.0178775273549	0.0220989211509	0.133527637104	0.331388193495	0.131995867415	0.20348638668	0.028795277395	0.115413230575	0.0154169435762
i	0.0129307263155	0.0148328638367	0.0974244316533	0.282147910565	0.210562413672	0.201120508493	0.0264440872117	0.136600152403	0.0179369138334
n	0.00671236009023	0.00733705550271	0.0626475633764	0.249801883542	0.263959602491	0.264182158055	0.0215727003272	0.113391615653	0.0103950785237
a	0.00478402211442	0.00445031802594	0.0491496780575	0.195652166601	0.26846825963	0.308016793909	0.0506029748057	0.108903911518	0.0099718826781
k	0.0060761158813	0.00660932193429	0.0403613712045	0.159351992734	0.24540998781	0.333469455636	0.0712828016886	0.125787484386	0.011651473745
a	0.00629922044487	0.00701288275263	0.0295196833077	0.128485519845	0.205849284603	0.384905560879	0.0917366560495	0.133283894455	0.0129073111417
k	0.00958491786539	0.00697052362408	0.0227431915688	0.095957565615	0.188226903801	0.417226940686	0.102310647817	0.142939731278	0.0140395874939
u	0.0106122652954	0.00670387585603	0.0192963315669	0.0774972201383	0.165660345134	0.424762148622	0.130560037272	0.146929131026	0.017978645538
n	0.00630062197012	0.00352700709348	0.0163634323714	0.0529525810794	0.143404308938	0.388677618941	0.131225523424	0.235266849809	0.0222820491593
s	0.0539398741234	0.0125500179553	0.0179647194195	0.0324192644265	0.0974402249393	0.332907225847	0.131253124208	0.28580331727	0.0357222234864
u	0.0672370227443	0.015506126715	0.010876798456	0.0272984364368	0.0717453167798	0.330046444082	0.199476487003	0.149941656423	0.127871704262
m	0.0272404300286	0.00822636085354	0.00542535436547	0.0225293238469	0.0524015034133	0.389559036694	0.182135579201	0.149178612874	0.163303793141
è	0.0139798937208	0.00555043797918	0.00331249975196	0.013818298152	0.0396822887311	0.395817603565	0.1659699632	0.218658160891	0.143210857634
i	0.00563653627428	0.00282977966331	0.00261470614911	0.0138502838779	0.0305255753237	0.246737539522	0.3111602914	0.22748738283	0.159157915678
o	0.00277563621439	0.00167812686722	0.00227119250127	0.0131639159535	0.0221073305792	0.109767448334	0.5044125978	0.221113789277	0.122709978693
l	0.00596578894902	0.00227763249598	0.00191746103234	0.0074033992545	0.0138992466177	0.093466113138	0.42195433502	0.387628354692	0.0654876899243
ì	0.00698113872397	0.00245757463396	0.00169752800918	0.00476417763417	0.00972341434857	0.0924462873793	0.30806995096	0.518402697231	0.0554572336681
b	0.00260423284829	0.00121449766292	0.000930852737463	0.00365485809426	0.00641993317219	0.161535991626	0.303188847991	0.464864245377	0.0555865341947
e	0.0013483799232	0.00104983156064	0.0022489442548	0.00366450106349	0.0071677767934	0.230297267222	0.205665043435	0.345372107059	0.20318613757
n	0.00137955555096	0.00105846882433	0.00441754669072	0.00292635307788	0.0058369389718	0.140664064247	0.149408650645	0.43064515432	0.263663243723
z	0.0172655663831	0.00558488693723	0.00681256517304	0.00366610750414	0.00946631279527	0.068696932449	0.161142807215	0.540186168607	0.187178639774
ì	0.0221930138766	0.0069084781257	0.00559874355652	0.00409097734367	0.0100733034336	0.0438016721563	0.127682122472	0.461846471036	0.317805215258
n	0.0148409319823	0.00440211827229	0.00396975094758	0.00294207127218	0.00660994179438	0.0602385286188	0.123410962784	0.447116605112	0.336469085686
a	0.0121565611216	0.00343378919683	0.00411565716592	0.00244113856217	0.00612051907783	0.0688659454783	0.129604794335	0.324074032563	0.449187560495
</S>	0.00621423901029	0.00178732545187	0.00314362647319	0.00193700844525	0.00437459204648	0.0452313865471	0.0945993622375	0.19582092592	0.646891531247
