 	io	non	sono	ancora	pronta	bisogna	venire	alle	sette	</S>
e	0.660003739665	0.099551581686	0.006038041335	0.0490414619092	0.000974557231917	0.00556593790508	0.00111099305436	0.00357685431547	0.0911512855913	0.0829855603716
v	0.687047485088	0.104551184717	0.00898002735253	0.0674365727561	0.00356337548104	0.0118087066473	0.00633411366181	0.0100518415452	0.0692010553823	0.0310256569172
ò	0.492189201829	0.27495443746	0.0984989370917	0.0593487101274	0.00528429281646	0.0140313040488	0.00792875726092	0.0113350774573	0.0238323749449	0.0125969354068
e	0.284713606642	0.398847172287	0.189947887031	0.0697117022951	0.0125431262339	0.00857815650931	0.00564807658194	0.00869508981085	0.0151994205554	0.00611578449673
n	0.187986295236	0.334231947362	0.239573909344	0.097229045533	0.0336811064016	0.0314227878974	0.00967563302226	0.0111871134659	0.0149136416067	0.0400985229829
ì	0.0967542626597	0.303945792254	0.383366740448	0.0741231144283	0.0332826162147	0.0358012676482	0.00824152367425	0.00713254617668	0.00760308113064	0.0497490636042
m	0.0542196638984	0.300097452418	0.428284147483	0.0746196098521	0.0333574062108	0.024489782803	0.00922950270462	0.014194015523	0.0389163021405	0.022592114118
e	0.0405871497928	0.213674907393	0.335274764494	0.246906153331	0.0522610028769	0.0217271919664	0.00988145310474	0.0167522656998	0.0493613619271	0.0135737365575
a	0.0203125256784	0.124573103472	0.240668025205	0.476327463977	0.052279169759	0.0268810488293	0.0148451315623	0.0100589282809	0.0275600282963	0.00649456735816
n	0.0164952352816	0.078259090573	0.165243709575	0.473787018659	0.0602140935197	0.0650899597951	0.0227880718061	0.0221775412289	0.0278787167324	0.0680665387855
k	0.0339212051211	0.0977163365359	0.174126401392	0.36658082276	0.0705831717066	0.0901928612384	0.019930146512	0.029154843471	0.0188524933961	0.0989417074005
ò	0.0355766980725	0.104759841099	0.186325293531	0.341666665127	0.148246764636	0.0891377438928	0.0173243938607	0.021498470213	0.00950370496023	0.0459604259133
r	0.0185156042129	0.0572056947137	0.14682087531	0.313799114042	0.262242516459	0.0862862024309	0.0237608473336	0.029849225931	0.0256946134543	0.0358253071196
a	0.010845511417	0.0336435982364	0.106698955239	0.223707915947	0.3841879904	0.120117114944	0.0291478671379	0.0297953844797	0.0299766521732	0.0318790183633
p	0.00941086674361	0.0214555228239	0.0744334230878	0.151570202249	0.41634078762	0.193334100248	0.038811158306	0.0320595155359	0.0458509373435	0.0167334959476
r	0.0222146859474	0.0142412362709	0.0490508264613	0.15121279635	0.35641565516	0.210353960349	0.0561175545153	0.0634580326653	0.0538251026652	0.0231101581752
ò	0.0225142341147	0.0113525920601	0.0321517896045	0.163083174603	0.326741322853	0.244539036316	0.0553473968318	0.0930552565551	0.0255879892084	0.0256272082451
n	0.0106857513504	0.00821738038046	0.0204716624351	0.116228491354	0.295806034951	0.300580546372	0.0598130499573	0.106657426318	0.0587374665828	0.0228021944997
t	0.0109538748412	0.00750932025484	0.013932952916	0.075490197698	0.28561431483	0.287368551457	0.109944278342	0.109730728373	0.0740363609809	0.0254194322066
a	0.00811070300669	0.00556132368213	0.0102331332723	0.061939925744	0.240343145457	0.341599630886	0.154903361437	0.104974334524	0.0419160442736	0.0304184053755
n	0.00410738261951	0.00542056601706	0.0077662627912	0.033418974288	0.152827632786	0.430873086122	0.122051630792	0.108213176241	0.0929488330512	0.0423724536005
g	0.00853321372826	0.00636533117391	0.00707501369193	0.0398280413113	0.102241785896	0.395081198001	0.118126041464	0.137319874947	0.141218811664	0.0442106854355
h	0.0100059968953	0.00590345408697	0.00777873975131	0.0684552513771	0.0956840674453	0.3774511424	0.150901104621	0.144157665916	0.101930336728	0.0377322451258
ì	0.00468984387734	0.00384296438959	0.00543687058755	0.0589582061264	0.0866812252284	0.433612309533	0.11715456418	0.148132841639	0.085818321616	0.0556728562693
z	0.0067442004344	0.00825307517486	0.00976894200696	0.0348230859761	0.100874181343	0.406823555244	0.0725766331	0.140677098213	0.159064033139	0.0603952013964
i	0.00745702404521	0.0101839692061	0.0118958943251	0.0234260502453	0.101224074394	0.356079063081	0.0951654131933	0.161896045471	0.182172642718	0.0504998348388
n	0.00355943646455	0.00471236385295	0.00570411777844	0.012701049458	0.0618125479533	0.275330210447	0.103555270291	0.258599083757	0.217256712711	0.0567692015263
a	0.00223473790325	0.00241441284243	0.00306852042954	0.0121507163396	0.0720341664808	0.188391730502	0.114404296097	0.296625780319	0.251393187457	0.0572824363554
r	0.00194849552395	0.00229953421109	0.00266919846514	0.0118422440829	0.0778958391806	0.133348038514	0.112176990899	0.306430180506	0.283040043039	0.0683494245851
t	0.00700699331096	0.00352158435008	0.00358621500983	0.016548926168	0.0441846566262	0.0869122580513	0.0878679741197	0.339117113502	0.305598953013	0.105655329248
i	0.00759999400708	0.00272519132467	0.00310630421537	0.0185237176196	0.0511872562653	0.106996723714	0.0947728294866	0.311283208834	0.247714772604	0.156090016136
s	0.00275146827764	0.00140632037008	0.00274433930906	0.0104952137943	0.0521197119803	0.102184755553	0.0601062396355	0.287813188278	0.326156788468	0.154221965005
t	0.00352782878325	0.00143555016668	0.00466496817419	0.0117618439956	0.0289936336488	0.0685415943763	0.0486107213052	0.298419111093	0.371122846556	0.162921888699
e	0.00368933578693	0.00117278469267	0.00418112025593	0.0103172418597	0.029854087092	0.0780118709401	0.0586283615537	0.248539312498	0.309649587385	0.25595629697
s	0.00139661489013	0.000782592451882	0.00261463179977	0.00645653563555	0.0326659655062	0.072089251054	0.0379126197899	0.210984347866	0.386801409928	0.248296025192
e	0.000643254965946	0.000649938226825	0.00227423398098	0.00524513970743	0.045300810074	0.0715145742173	0.02286680233	0.196079612522	0.467332609016	0.188093021933
t	0.000680569325251	0.000584425241138	0.00193595102782	0.00371397376866	0.0486310177218	0.0725379370564	0.01895267669	0.182945606041	0.506704043379	0.163313798911
t	0.00441897373457	0.000992357103045	0.00283072128938	0.00805503178935	0.0260611542655	0.0408972948295	0.0323355226433	0.205615681947	0.497864165126	0.18092908395
ò	0.00567412714626	0.000930909432175	0.00248287166385	0.00878988916638	0.0163275668564	0.0225925293177	0.0370775066864	0.161772992182	0.380958523709	0.36339308003
</S>	0.00345139438648	0.000574287870228	0.00139184834501	0.00471240538409	0.01345544861	0.0180927446306	0.0232611945012	0.106675109791	0.327459129854	0.500926450015
