 	lo	ho	finito	di	fare	</S>
t	0.573805089582	0.197639662213	0.045129604824	0.0125638054655	0.0158448671342	0.155016998609
o	0.541183582747	0.330875549838	0.0487881701991	0.0099444025935	0.0122387756247	0.0569695330911
s	0.374463644576	0.356519135413	0.124865983918	0.0406723516865	0.0763820050742	0.02709687241
p	0.252393414166	0.297230051438	0.238989424073	0.0636434277182	0.132193333311	0.0155503532886
ì	0.187995187402	0.387912505313	0.297638227293	0.0398916576001	0.0793684600723	0.00719396087945
c	0.0788095402407	0.444416544091	0.324970576691	0.07741653272	0.0682221509714	0.00616464942655
c	0.12963700172	0.335352861377	0.340570167056	0.12111814878	0.0659685897305	0.00735325027952
e	0.176430964109	0.338336971219	0.316711529019	0.117688689467	0.0323946865968	0.0184371736462
t	0.100325026385	0.300368060446	0.37193635284	0.132723142849	0.0708703927796	0.0237770325771
s	0.0506946017883	0.174741558302	0.519371116613	0.129576874092	0.107899012007	0.0177168528117
a	0.0303692018516	0.116506659753	0.442050989594	0.23313905392	0.100628460236	0.0773056539326
a	0.0106440740485	0.116499979151	0.221338155718	0.451051017307	0.098781169792	0.101685616874
t	0.00496413848263	0.086856522669	0.229644590074	0.432453541819	0.179071332537	0.0670098698008
s	0.0140655134249	0.0362540915077	0.348757903861	0.287823129323	0.241496140252	0.0716032377336
è	0.0158588601289	0.0177140042734	0.26253967052	0.292465825108	0.290037599244	0.121384078845
k	0.00986635121226	0.0357698892686	0.113054660346	0.309880371836	0.367675602748	0.163753155998
à	0.00788961905881	0.0403156296713	0.0620630076984	0.222931083279	0.441391844583	0.225408834782
m	0.0340272180684	0.0391339610335	0.0699357487425	0.183759056626	0.470191978081	0.202952038354
i	0.0430236249201	0.0396034396651	0.0731272777275	0.159633636009	0.379622819914	0.304989192211
</S>	0.0221255030319	0.0214609822215	0.0394279245837	0.100271005204	0.322754766957	0.493959811106
