 	se	avevi	visto	tempo	il	tempo	non	fossi	venuto	che	ti	bagna	tutto	</S>
a	0.623074079607	0.108592205395	0.096341313554	0.00423489609003	0.0100324631958	0.0193759106136	0.0129766051696	0.00548370174252	0.00963209072541	0.00629242432866	0.0098822651956	0.00522464596851	0.0105135213805	0.0783438765372
n	0.479090948694	0.244539151905	0.152850592832	0.00351086222784	0.00569808958847	0.00679072563797	0.0133236504001	0.00258354676407	0.0203659151692	0.0106632808095	0.0082826023307	0.00225014156521	0.00360856038472	0.0464419403669
ì	0.267016503832	0.487156077168	0.136136689482	0.00591803103446	0.00417997480364	0.00271224602342	0.0132907833031	0.00156483708111	0.0239558536887	0.0121532919041	0.00771332786701	0.00129709811175	0.00124462610979	0.0356606792901
c	0.142900056062	0.586037896589	0.137691466554	0.0179668477454	0.0213427336249	0.00529611580356	0.0109198651998	0.0097838325387	0.0166816016219	0.00765285688956	0.005001251538	0.00110988703197	0.00096491137717	0.0366506846711
h	0.123429685199	0.541455085063	0.182622696425	0.0223588468078	0.0279247317742	0.00637697397232	0.011283225029	0.0145641579419	0.0151086407901	0.00622143982296	0.00416705574104	0.000984199803458	0.000858077731847	0.0426451810155
e	0.120436594952	0.520619193288	0.272409943735	0.0161073705425	0.0133796685012	0.00353865240507	0.00928014793914	0.00828527202545	0.0101585695887	0.00267008036497	0.00174978470449	0.00049614479271	0.000381874123829	0.0204867100043
t	0.0630130510421	0.352965414429	0.403927657265	0.0296132116134	0.0136050606202	0.00461660208378	0.0276349571847	0.01066971188	0.0355222784287	0.00940852382906	0.0240623507421	0.00303866332429	0.00245781544827	0.019464708031
o	0.0351614529602	0.266761003634	0.488237255735	0.0369025991411	0.0153393981272	0.00434554980806	0.0301873319012	0.0134166142702	0.0408258414448	0.0116380613457	0.0313294888345	0.00380607514748	0.00309923175523	0.0189500871828
r	0.0196768227926	0.259858477702	0.427470464292	0.098150278517	0.0185787235429	0.0241415737688	0.0325727219693	0.0266548699427	0.0397410873218	0.0116488677273	0.0176184009676	0.00333531665464	0.00374428742368	0.0168080966013
ì	0.032198542083	0.229882600184	0.297776039514	0.171890394449	0.065884130305	0.0398463047407	0.0371698792422	0.0374400911371	0.0397676399301	0.011680021712	0.0131059459557	0.00319886993838	0.00405455745786	0.016104977756
s	0.0389157360399	0.198274946478	0.266223662321	0.175400520013	0.119351868219	0.0284352518046	0.0270724052211	0.0510425382737	0.0398263885843	0.0118454287154	0.0139237731386	0.00469724874067	0.0116441051554	0.0133461279835
o	0.0181014948891	0.199868914211	0.210559775347	0.189425898491	0.170409886656	0.0245575764389	0.0255717733917	0.0607979586966	0.0425756659787	0.0123557729122	0.0142584246576	0.00514862996935	0.0140499391735	0.0123182734122
n	0.00988486023133	0.182799720464	0.147077909337	0.250786783286	0.165626608689	0.0473389336936	0.0317301438824	0.0419250406567	0.0613915112871	0.0119180359252	0.0121051418652	0.00621216632834	0.017821523141	0.0133815972335
t	0.0496837841791	0.0797924672087	0.152573859294	0.295930656918	0.112263945756	0.0619267665845	0.0336650246059	0.0364525795912	0.0755077906964	0.0183356803378	0.0362991350825	0.0116603020307	0.0197734351567	0.0161345743483
a	0.065021000666	0.0932318211556	0.110520771078	0.252905642477	0.179957009562	0.0546577766975	0.044869473802	0.0592755555624	0.0557151522974	0.0204819415011	0.0378817807461	0.00936957334439	0.00735108599367	0.00876143135584
c	0.0296765119693	0.0933849014523	0.0914639716993	0.169533682023	0.225770094347	0.0729704170798	0.080341622734	0.0730676143321	0.0919603337256	0.0261989037296	0.0217163946595	0.00415294161682	0.0121211024053	0.00764152680095
e	0.0148820114522	0.0845563089328	0.0844598623731	0.141542065738	0.238776689092	0.0844605105913	0.0977724607113	0.0811169598907	0.1044311989	0.0268061145467	0.0163262495098	0.00311634507486	0.0138549303266	0.00789830563269
r	0.00806726965841	0.0825257400133	0.040424245851	0.174575399683	0.244249551324	0.14620113915	0.0855380964938	0.0789964263702	0.0697571175173	0.0223172276698	0.007549176501	0.00716244834071	0.0101099537518	0.0225262123222
ò	0.00752407402173	0.0989916331724	0.0222202078489	0.141310523008	0.223728448223	0.214469065423	0.0846425270213	0.0727145545967	0.0597611503438	0.0181978907226	0.0061273501254	0.00830864094558	0.0125544825313	0.0294494534716
o	0.00565308443019	0.102424743548	0.00883990837803	0.0619819483493	0.190763013684	0.279193244937	0.10248144154	0.0941511115189	0.103139653855	0.0158034696475	0.00567662334287	0.00587752818927	0.0101793963424	0.0138348253237
c	0.00372841455711	0.0432673127259	0.0577467258939	0.03772414529	0.128741931477	0.294733062587	0.10477643078	0.111534119573	0.152477642867	0.0216967075272	0.0117929573061	0.00595463393136	0.0168435188913	0.00898237909389
e	0.00277992998253	0.0395051134519	0.0836689203453	0.0351000104169	0.124358380366	0.216450881648	0.139323285593	0.130645721724	0.145276997622	0.0344636004357	0.01744109269	0.00564400684745	0.01762110333	0.00772094505783
r	0.00210892441608	0.0374074101215	0.0403530391578	0.0334259114456	0.128885395695	0.251834298416	0.143366688224	0.123588796261	0.104589835666	0.0396937604786	0.0155656777193	0.015641197458	0.0465671658772	0.0169719097499
ò	0.00191346539401	0.0571718465602	0.0155955824266	0.0308892894264	0.102656373137	0.234574811132	0.137990838101	0.144083452307	0.104338285347	0.0318649053929	0.0180643261904	0.0207466110505	0.0724687590412	0.0276414711962
e	0.00104581053491	0.0613534781706	0.00563785241731	0.0282022413237	0.0699174559223	0.166079240009	0.151251372767	0.207223541916	0.162308400342	0.0339235494643	0.0198703526073	0.0227518278825	0.0517901074635	0.0186447707473
n	0.00117078269472	0.0229907287018	0.00317772409252	0.0208702556816	0.043171125152	0.152105081708	0.107716184567	0.243476713665	0.149489795941	0.0397222042214	0.0197465587036	0.0870201489035	0.0898303580041	0.0195123296888
ì	0.00122316301725	0.031590948332	0.00244051049677	0.0167245870751	0.0271448896253	0.101440462549	0.104229351367	0.283834947768	0.10507538922	0.0491785536071	0.0390586167079	0.110287757134	0.106047694291	0.0217231223218
c	0.0223703172529	0.112622797545	0.0527198222149	0.0270440132888	0.0260144861804	0.076937692329	0.101530667189	0.267542156203	0.0851002437533	0.050047749175	0.0449389340806	0.0523795472761	0.0574028446892	0.0233487290774
h	0.0328025704687	0.130173995312	0.0793427910964	0.0464912746416	0.0257979505175	0.0767244598257	0.061996655383	0.184171828734	0.132120958891	0.0653369059643	0.0743143560782	0.0335295504302	0.0336337436093	0.0235629689551
e	0.0147776702654	0.0570668334699	0.0375253876759	0.0418532361146	0.0274046895505	0.0587893790586	0.062404727181	0.135700482265	0.188140478164	0.105193481321	0.135673560766	0.0815918547454	0.0336477838491	0.0202304333517
è	0.00523453060836	0.0222888070558	0.0134919164462	0.0242758794547	0.0442628880088	0.0356926742329	0.063715434527	0.184956590922	0.153522493455	0.10898050164	0.126195257535	0.111981369068	0.077794848802	0.0276067870188
r	0.00237763447856	0.012263627393	0.00523647919981	0.0183037807014	0.0766601997009	0.029978008091	0.054494560109	0.192888867201	0.194621464085	0.09259834548	0.081638621585	0.081365203606	0.1351590986	0.0224140926612
t	0.0112218497035	0.00776911098753	0.00611821274544	0.0225375684114	0.0633437745063	0.045156994399	0.0418264722763	0.10863382374	0.286344611095	0.0728572704533	0.105257328728	0.0861377342913	0.129432315854	0.0133629251464
o	0.0137877344789	0.00387789416043	0.0058752081203	0.022629562975	0.0276652859497	0.0444994959225	0.0346301136454	0.068057947	0.236874909478	0.0893888103778	0.151007108232	0.143637357156	0.112920708598	0.0451478724281
n	0.00591625105806	0.00384263984223	0.00289828292815	0.00812110354399	0.0156070055241	0.021316053853	0.0411271210818	0.08579366781	0.128712864739	0.135855139526	0.13232797202	0.179341762719	0.179994684086	0.059145459576
t	0.0063596140926	0.00411264880684	0.00290531111025	0.0142800046694	0.0080706603167	0.0359073304623	0.0306867477473	0.08726192424	0.11337421658	0.146209341709	0.15899540996	0.173124426733	0.170045807275	0.048666569696
a	0.00559121223109	0.00232728788626	0.00221812580641	0.0163897398078	0.0057717669835	0.0408804190147	0.0259027337158	0.06951520878	0.101776617627	0.14124148817	0.183967252353	0.202600659204	0.106027799285	0.0957897026093
n	0.00296733907821	0.00370384044624	0.00245626705633	0.00601806291967	0.00463829327243	0.018172432813	0.0290421365606	0.07797167854	0.072061085109	0.161671824623	0.151595203418	0.207662489421	0.162340165495	0.0996991685298
a	0.00197673688804	0.00416722401479	0.0024848365696	0.00307140158122	0.00458818982414	0.0193983259512	0.0409320743115	0.0883897594467	0.0600933632763	0.169236790974	0.138593996533	0.207785164694	0.193253488165	0.0660286422366
s	0.000832823435454	0.0052843031633	0.00111402094462	0.00283498546841	0.00480445009071	0.0251456880324	0.0470178972638	0.0823147859689	0.0682760680121	0.167929442891	0.119779428258	0.204769980031	0.218392789222	0.0515033531989
e	0.000404413345552	0.00557999240805	0.000653335929267	0.00335593174031	0.0054813313147	0.0323112092168	0.0496293403453	0.0839561310696	0.070010042464	0.17693146993	0.104658270539	0.188726565944	0.228169572641	0.0501324091196
g	0.000549452908878	0.00704887623084	0.000797909040216	0.00298793639114	0.00602637649137	0.0314053860603	0.0479992175484	0.0768191376532	0.088442306448	0.170535073543	0.11067617078	0.171071101181	0.236900398574	0.0487406565265
