 	io	dopo	torno	vecchia	vendo	mia	casa	che	ho	Venezia	a	Venezia	e	vengo	da	vivere	qui	a	Kalimara	</S>
e	0.648877883397	0.06536414733	0.0267982428933	0.0139154071169	0.00432447586036	0.00268118747958	0.0012295712532	0.0117053001704	0.00609834596027	0.00690023847773	0.00713187289336	0.00937648060035	0.00596603909365	0.00411270336772	0.00439916662996	0.0145127854334	0.00302165395253	0.00804459537068	0.116751334642	0.0387885398689
v	0.651383594173	0.090274556924	0.0396212448532	0.021625609673	0.0036306203652	0.0012023238537	0.00188443888168	0.00461204994567	0.00288501808993	0.0039635187354	0.00362100294827	0.00520122302978	0.00446901099314	0.0047037304409	0.00219714799262	0.00512781884689	0.00109904872075	0.00343235942777	0.125479988812	0.0235856424485
ò	0.481345829438	0.223193362754	0.0834580440241	0.0302776878747	0.00393627190678	0.000751264586115	0.00211870289817	0.00225077675944	0.00182029409136	0.00298626076017	0.0024565125901	0.00381115381896	0.00397227565753	0.00491250906852	0.00146820487085	0.00200432037165	0.000418070519831	0.00196740483633	0.0672437588662	0.079607268962
d	0.233752105596	0.37617148489	0.119182998582	0.065899737056	0.00327434354024	0.00766481050678	0.000883281159022	0.000993800582288	0.00066056414124	0.0010145152323	0.000851566363141	0.00128435899611	0.00133662402003	0.00171539606501	0.00050711987922	0.000686883198822	0.000153819906092	0.000962242742357	0.0891489187767	0.0938554164954
ò	0.0819561419751	0.445773403	0.154713271371	0.0969495724272	0.00973532700751	0.0108732626363	0.000618109151707	0.000615740645623	0.00032525862115	0.000442253174283	0.000473034983946	0.000535548364162	0.000531138158301	0.00120580545063	0.000346846826664	0.00036801361525	9.17138250112e-05	0.000765338155303	0.0963763739186	0.0973038507622
p	0.0289187065424	0.43485542187	0.195591547684	0.104549615682	0.0123600320258	0.0108856668135	0.00111065081626	0.000457443026006	0.000241356205169	0.000346617352001	0.000363822163877	0.000309320564856	0.000274693203912	0.000994488383023	0.000297714275155	0.000265357412715	7.74338716235e-05	0.000740914509561	0.0989619346909	0.108397268989
o	0.0105480053085	0.320504529475	0.268610519519	0.162939147005	0.00930511507863	0.0108981988661	0.0012575151096	0.000414841182675	0.000191357945225	0.000244431496949	0.000178359837413	0.000147030581517	0.000117221388406	0.000433222137827	0.000135045819378	0.000145581733464	0.000146997174687	0.00085610046947	0.142151884906	0.0707748840034
j	0.0379801825513	0.19657218886	0.237382229699	0.267416951679	0.0471075254409	0.0226206991258	0.00976207055922	0.00405412257254	0.00295466296867	0.00616501777043	0.00320320597082	0.00450615462791	0.00227063407496	0.00242344139842	0.000690480015432	0.000817108874714	0.000295229552225	0.00155606883062	0.104993361428	0.0472286548177
u	0.0510352406526	0.119329458327	0.204524526766	0.348831596233	0.0758435160803	0.0268621492899	0.0127666184544	0.00562802213391	0.00432176306947	0.00818133453858	0.0046076636122	0.00602504538877	0.00320791794683	0.004052528938	0.00156019585232	0.00138211361883	0.000534106779996	0.00250314041451	0.101550880351	0.0172521744396
r	0.0292373747896	0.0724038153263	0.256977278522	0.377733387418	0.0564452328934	0.0232311701046	0.0113902855968	0.0057811313733	0.00431855037181	0.00634039165832	0.00473199420316	0.00510528251984	0.00394345764424	0.00695313429917	0.00381040886602	0.00223801084723	0.000714438527488	0.00561353953312	0.110087332126	0.0129437716561
ì	0.0177881363015	0.0495612452968	0.260178577893	0.384880184282	0.0652911856445	0.0231966876686	0.0117040739108	0.00585139283223	0.00431387535835	0.00641645144124	0.00451489841095	0.00528740273202	0.00400722575085	0.00712451418738	0.00391733906559	0.00222566792988	0.000609697670493	0.00605573700279	0.0625365308791	0.0745391662099
z	0.00810345217181	0.0380030111136	0.25660219585	0.350523706948	0.0830561428324	0.0316203855907	0.0107388534115	0.00499779355054	0.00334026818426	0.00491472156931	0.00484886314159	0.00373826620257	0.00244293211656	0.00572385283799	0.00222044507871	0.00212010483329	0.000685883122909	0.00906661994538	0.0756059821302	0.101646516593
o	0.00490480384593	0.0328965202163	0.203412079783	0.368669686356	0.098925594107	0.041620945971	0.0133912005958	0.00766371744085	0.00508643839573	0.00436221235466	0.00569033149292	0.00302165567604	0.00223790110286	0.00878131689004	0.00295027740937	0.0029627650153	0.00112297195583	0.0106576444452	0.133214951908	0.048426987445
v	0.0114607347799	0.0203805274185	0.148175390014	0.420426500847	0.126048278688	0.0542952098437	0.0195976989233	0.00955025572295	0.00856879763124	0.00453033287011	0.00581616677407	0.00364802134839	0.00338534257653	0.00895799347721	0.00279136457972	0.00218454832955	0.00104987260118	0.00645894442612	0.124175726019	0.0184982998298
e	0.0138382716088	0.0173363246076	0.109085116425	0.429462696949	0.152419443849	0.0727061054346	0.0239743571344	0.0117558435677	0.0129327101457	0.00554343367824	0.00898836211132	0.00411217080275	0.00537710230729	0.0104915893134	0.00447610170478	0.00250187281818	0.00124339362345	0.00509492580933	0.101367411428	0.00729276791395
k	0.0112058085971	0.012379979174	0.0748457600017	0.40111701425	0.150500486876	0.125263935298	0.0351133577161	0.0156971480892	0.0146335155506	0.0119863128276	0.0108756447086	0.00702112035854	0.00819442839034	0.0115540742033	0.00607158598445	0.00423647144098	0.00203615981066	0.00584595771601	0.0781661951473	0.0132550316585
k	0.0485413253515	0.027559903046	0.0463131104539	0.28486244855	0.163106500825	0.156587195039	0.0636219369567	0.0220332094297	0.0171645752215	0.0311142548711	0.0116853868275	0.0217021329243	0.0117235216145	0.0109856315231	0.00539478162372	0.00544111305452	0.00252395459574	0.00847180486103	0.0355823832155	0.0255848239028
i	0.0612609387753	0.0359901323403	0.042012557998	0.228102309583	0.223781903435	0.129601218453	0.0694713399789	0.0279502196899	0.0220712419272	0.0383425929003	0.0102572154205	0.0257381300562	0.0114785440953	0.0114160501757	0.0067173881861	0.00630433271736	0.00292813592891	0.00949589520462	0.0158574278078	0.021222431929
a	0.0271861667544	0.0221083127	0.0879561169727	0.216162719426	0.25090784476	0.120522382984	0.052552828285	0.0329707388633	0.0273703112751	0.0247530686688	0.0124282452594	0.0147215935379	0.00813213677767	0.0141283403273	0.00581157789501	0.00473048676601	0.00248109765245	0.00828742628727	0.0545297575754	0.01225884377
