 	io	non	ho	cosa	da	mangiare	</S>
e	0.652863009327	0.112636727931	0.0035590976593	0.0984698927815	0.0073306890341	0.00699950543182	0.118141043525
v	0.670060266109	0.111529336017	0.00957117524773	0.103294799015	0.011214698379	0.0484427644578	0.0458869361315
ò	0.48613550897	0.281942011812	0.0829292509019	0.0502007377525	0.0141781205344	0.0625379227189	0.0220764347922
e	0.306795192993	0.376879908604	0.177517803469	0.0912904523575	0.017690632254	0.0215452334046	0.00828077060229
n	0.21075079796	0.281794820535	0.238356416556	0.143936206397	0.0395873472327	0.0763831042852	0.00919130166006
è	0.108612631847	0.260135751178	0.340008894092	0.141438940564	0.0450838011242	0.0950160952629	0.00970390141078
c	0.0496766053745	0.263223456593	0.333653540764	0.179107568321	0.0525097561214	0.0914706314551	0.0303584702741
h	0.0396291952806	0.183825959091	0.305766923988	0.206799466374	0.0676936341738	0.0962772198184	0.100007627496
o	0.0333474579464	0.113114676183	0.312826112129	0.294848575058	0.0992181384579	0.0455698304661	0.101075232801
t	0.0185941437303	0.0705551368016	0.22164315053	0.410763464999	0.127944042459	0.107800928882	0.0426991335737
i	0.0102144469837	0.0488366121856	0.14806727191	0.388634763646	0.221257731793	0.154907408327	0.0280817651386
è	0.00574320616278	0.0338546978054	0.09061365235	0.286932213235	0.283709491931	0.272255406776	0.0268913517355
n	0.00752661244694	0.0241671308877	0.05415370281	0.203527387658	0.23067575971	0.450279027592	0.0296704029738
a	0.00768937073646	0.0212726794183	0.0439420627179	0.133546515913	0.230928340637	0.509220415464	0.0534006346446
f	0.00515501246347	0.0145403669187	0.0317282542065	0.076847125371	0.245366794079	0.534223856755	0.0921386044815
à	0.00326984294871	0.0074070937747	0.019570013638	0.048670732695	0.183285421506	0.632169459585	0.105627444761
o	0.00156079953176	0.00334823713304	0.00838191200109	0.0242554116909	0.105065946462	0.646200941862	0.21118675832
</S>	0.001406544901	0.00275090543103	0.0059370471484	0.0212877695773	0.085193218251	0.561244587931	0.32217993316
