 	non	aveva	dove	a	stare	</S>
e	0.671945334961	0.0937573610418	0.0132224562306	0.096229276287	0.0289224909298	0.095923051736
n	0.488313748827	0.207570031901	0.0613922729169	0.13754678828	0.0563530591408	0.0488240851745
ì	0.218395181965	0.4908415629	0.0968138696633	0.0956530877586	0.0653673997289	0.0329288966211
c	0.090993958351	0.59071118438	0.144175131392	0.128876279881	0.0321172069452	0.0131262270387
h	0.0830092718637	0.520329170207	0.216615581611	0.144814581289	0.0216765394697	0.0135548295709
e	0.0831362401527	0.405206256602	0.402393676204	0.0839325018497	0.0110458217502	0.0142854660787
p	0.0400037797728	0.203509380418	0.493797117135	0.180819731617	0.0230008887604	0.0588690828302
u	0.0226115618774	0.121055250257	0.417306824778	0.302784814139	0.0570092551581	0.0792322887294
s	0.0161834586559	0.0884310605057	0.336588873819	0.37294521358	0.127350813623	0.0585005697631
t	0.00850634843126	0.0513292868386	0.231045982166	0.39421099866	0.264530384806	0.0503769847544
a	0.0059291367659	0.0378828955879	0.223847502975	0.28284897952	0.381418371582	0.0680731095848
t	0.00504933939289	0.0436534085277	0.208563970231	0.149093097613	0.450721480994	0.142918711302
ì	0.0038787276735	0.0315165579401	0.12257069317	0.085242431651	0.355095113991	0.401696484741
</S>	0.00283927090965	0.0175780845564	0.068450207745	0.0723075761855	0.220531072356	0.618293797371
