 	dovevo	comprare	il	pane	ogni	giorno	</S>
ì	0.645622152281	0.0272173500639	0.0522139338398	0.0872333565104	0.0542509040994	0.032085104783	0.101377172659
c	0.660665622515	0.0622460010893	0.127067096644	0.0750226272188	0.0223461080541	0.011087300855	0.0415652320454
h	0.490934480172	0.227537403365	0.174510373403	0.0633372753508	0.0137879783118	0.00411288397386	0.0257796157796
a	0.408751586037	0.401995772207	0.126383565968	0.0413694865155	0.00704840178607	0.00140197231836	0.0130492288536
n	0.317963041877	0.471101941888	0.12700763965	0.0440238523082	0.0341476836228	0.000766764699377	0.00498907456295
a	0.199954761524	0.532708620196	0.17620228059	0.0443100553502	0.0432370105711	0.000554734522172	0.00303253084563
v	0.138485588127	0.426682456925	0.236537671237	0.0923986936669	0.0754827074379	0.0212560423866	0.00915684618375
o	0.127214075561	0.288504397802	0.321675260979	0.123633847112	0.092981629408	0.033853228973	0.0121375602821
r	0.1328037238	0.326167059047	0.286611239093	0.07749331276	0.0918750980587	0.0246289116736	0.0604206353426
à	0.0964019332573	0.255301949928	0.259576853191	0.0924105316733	0.177517545056	0.0215736804077	0.097217484993
s	0.0827228193098	0.115282226511	0.27152712569	0.191991499424	0.212797336548	0.0272781541479	0.0984008387458
o	0.102831028398	0.0713984626091	0.25404863443	0.302441213675	0.160618585232	0.0251876687118	0.0834744145128
o	0.103065737343	0.0436131317697	0.196949412667	0.338995942292	0.241602989531	0.0177951978185	0.0579775917249
t	0.0393728385096	0.0252482230188	0.114377459946	0.403475810364	0.277798546804	0.0512764224755	0.0884507053208
s	0.027906328101	0.0263705003706	0.173526729315	0.456660646855	0.145526503801	0.0572167428458	0.112792558136
o	0.0251786841592	0.0210616262571	0.170975244148	0.371409393758	0.146555752707	0.0499760907853	0.214843223755
m	0.0752113537406	0.0293791724593	0.102600078659	0.304051749459	0.184632527836	0.0648834548818	0.239241682525
ì	0.0923569804932	0.0326105737907	0.0924140712269	0.275787754713	0.223716330079	0.107470683294	0.175643618882
k	0.0393497060154	0.0128590556278	0.0556967512295	0.237460877264	0.28569907376	0.226820990431	0.142113548827
u	0.0196798163229	0.00563957173272	0.0281767594409	0.165553526028	0.34936563952	0.284873889744	0.146710804009
à	0.00876812220762	0.00229189534493	0.011580063147	0.070187810816	0.36046839874	0.401482865781	0.14522084395
i	0.0106103448029	0.00155002329128	0.0056920845973	0.0326798168097	0.315717457747	0.506306139527	0.127444117963
m	0.0219274543836	0.0179386312297	0.0307892215371	0.0324919259076	0.290996979449	0.487723632176	0.118132151488
è	0.0190208831247	0.0227596173164	0.0381457409925	0.0300918615132	0.216973397216	0.587284161725	0.085724335096
r	0.0159064996709	0.00783711808235	0.0159089520025	0.0540104320751	0.187549473372	0.635156186442	0.0836313305653
i	0.0149438530824	0.00315100522559	0.00861079287462	0.0613066098301	0.142824354271	0.451849026547	0.317314355922
</S>	0.0078735401068	0.0020453292542	0.00465431875259	0.0308195343327	0.0768406784055	0.311102406073	0.566664188961
