 	non	ha	da	mangiare	</S>
e	0.642855904004	0.095538562984	0.091378326108	0.0151118068	0.155115399896
n	0.457535227873	0.179406830661	0.158207988076	0.106881484757	0.0979684569755
è	0.195998636902	0.43080550922	0.144418881025	0.150040567182	0.0787364074905
c	0.0993657250947	0.547879061467	0.142248650142	0.179972443877	0.0305341270618
h	0.0917723202789	0.514414370882	0.154098986447	0.182811015479	0.0569033178036
i	0.0969412152062	0.476858299627	0.266228090349	0.0890073634797	0.0709650307792
n	0.0525758676937	0.298895899182	0.442009113383	0.168346906493	0.0381721951191
a	0.0221553506421	0.158452141258	0.453878048728	0.324016230098	0.0414982011797
f	0.0100740049179	0.0903233099367	0.340513193709	0.485133440033	0.0739560332866
à	0.0049530044947	0.041779081887	0.183238251716	0.689627399344	0.0804022686289
i	0.003096288345	0.0184162503865	0.079731987542	0.705768514448	0.192986974943
</S>	0.00246266811655	0.0108920669075	0.049048963206	0.620746100224	0.316850211471
