 	e	che	cucino	</S>
c	0.590663313099	0.156484533611	0.168053499348	0.084798657183
e	0.488038464033	0.31647031887	0.160205786446	0.035285432663
p	0.329409256478	0.357594523623	0.271508564755	0.0414876536297
u	0.177395485493	0.432031223208	0.339368874425	0.0512044031599
m	0.114591477298	0.449854910783	0.399272426182	0.03628118379
a	0.0822881394993	0.380579105241	0.473209726594	0.06392304219
r	0.0742541553664	0.39189246968	0.382776283265	0.151077099908
è	0.0571829886975	0.331093318827	0.461050073888	0.150673607461
o	0.0466651761738	0.218305168809	0.495247117296	0.239782516307
</S>	0.0337583912359	0.136138080804	0.449857099648	0.380246410183
