 	entrò	da	qui	</S>
m	0.54998099	0.170448521842	0.10594765402	0.17362284061
b	0.57048774874	0.189706300003	0.11508296255	0.124722975574
ì	0.464699371497	0.299203368334	0.088392801456	0.147704425153
k	0.399740971476	0.397912669645	0.109983802104	0.092362521091
e	0.345932084596	0.451233731415	0.150739188833	0.052094959611
a	0.227119936228	0.437476171605	0.261647849524	0.0737560208203
p	0.204741929095	0.293393529615	0.435125104088	0.0667394377761
ò	0.152456994031	0.240994370418	0.560578111876	0.045970531332
t	0.139871661216	0.200135085539	0.593483349065	0.0665099078707
t	0.189797103687	0.14325581166	0.494920246795	0.172026844517
u	0.129499008513	0.0915891922095	0.331399792932	0.447512007039
</S>	0.0694486827098	0.0501868180689	0.247413662466	0.63295082852
