 	devo	pulire	l	albero	</S>
è	0.487646315159	0.246457775146	0.0277407284365	0.0285639861931	0.209591185629
n	0.446139738494	0.374838181605	0.0731570960441	0.0286560456231	0.0772089333014
a	0.328329689405	0.515397965268	0.0944179730114	0.0287765575801	0.0330778362384
k	0.192890877098	0.553473570756	0.14426049292	0.0843555209591	0.0250195730637
a	0.146663093045	0.518725445852	0.196145508733	0.113479833204	0.0249861427879
t	0.120598307715	0.453048582684	0.185273222631	0.179959357552	0.0611205494493
à	0.134234120339	0.299650193161	0.212025544697	0.274120611051	0.0799695412164
r	0.142131096275	0.252456154654	0.237869064226	0.30049157935	0.0670521040255
o	0.123033475382	0.224304188085	0.303495081042	0.271710775297	0.0774564709752
t	0.124137533548	0.155216839942	0.362067694981	0.296658089746	0.0619198373984
o	0.0886142176978	0.0958092619607	0.399990071594	0.337994975849	0.0775914798661
n	0.0636043218892	0.0552600776382	0.359266647305	0.42192764395	0.0999413059687
à	0.0286250671429	0.0604518701057	0.205134552508	0.61957065305	0.0862178340696
r	0.0180127818045	0.0656463839769	0.0972921503227	0.732802117683	0.0862465463899
b	0.0142175392148	0.0394177064856	0.0944332603876	0.714235537894	0.13769596081
u	0.0239822246567	0.0301575481698	0.0822377663511	0.567638674105	0.295983793983
r	0.0531333582344	0.0159396946138	0.0462092984456	0.575846176175	0.308871467594
o	0.0504533410167	0.0119918825327	0.0342440462425	0.490519111912	0.412791622131
</S>	0.0255880989926	0.0126390354446	0.0237652645622	0.320127187736	0.617880428066
