 	l	ha	scritta	</S>
t	0.598271655402	0.17912335668	0.071350873573	0.151254128321
o	0.455104877173	0.428876208227	0.0576001161377	0.0584188013304
è	0.229301172452	0.702563892742	0.0435248626059	0.0246100696204
g	0.104539324018	0.685622850247	0.192092887149	0.0177449425288
r	0.144074090712	0.520506969082	0.24917390083	0.0862450451056
a	0.158663709102	0.540303060027	0.17252024619	0.128512975055
t	0.0816965760451	0.541506413876	0.298800823063	0.077996178085
s	0.0891581163484	0.438124431159	0.365362935821	0.107354507855
e	0.0815990997941	0.27512651732	0.282259957407	0.361014416045
</S>	0.041160229614	0.15276209406	0.249004405703	0.557073266022
