 	ho	cosa	a	fare	</S>
è	0.479833837812	0.245920742634	0.0854450075793	0.0460140374454	0.142786375418
c	0.276785686457	0.378736832878	0.168970691845	0.120075711936	0.0554310941993
h	0.174922450072	0.481413594959	0.187950876682	0.126115820481	0.0295972755551
o	0.157066370624	0.601612492986	0.172919918594	0.0512132519963	0.017187975103
t	0.107074999097	0.574081574995	0.217323489165	0.0450196056521	0.0565003340437
i	0.0648366056991	0.457357163665	0.348651684388	0.0549202633774	0.0742342749012
k	0.0350728842011	0.287153627222	0.390469346596	0.173649392686	0.113654764304
à	0.0161287539363	0.124724190145	0.265969941332	0.434919978615	0.158257160055
i	0.00781909096125	0.0571541205819	0.167408009111	0.537819061738	0.229799727685
</S>	0.0045884476355	0.0334497754854	0.136265565556	0.504983922169	0.320712299242
