 	tu	quante	bottiglie	hai	rotto	dieci	</S>
e	0.527634237124	0.221157766419	0.0217675815699	0.0485138250564	0.00196570101403	0.0144093945459	0.164551500488
s	0.466807302908	0.318705648606	0.0410300846764	0.0320804151961	0.0443555050259	0.0070187137296	0.0900023316061
ù	0.372472397409	0.418826546869	0.0518467682921	0.0287025588475	0.0585046064297	0.0045123704322	0.0651347486851
p	0.275351714443	0.51305855229	0.092504780964	0.0634937626205	0.0256861835701	0.00428284018693	0.0256221611205
ò	0.21468156414	0.488633448763	0.157120974028	0.0965294379992	0.0211860946934	0.00444266077743	0.0174058269142
s	0.182252280906	0.443234056254	0.207329590743	0.0929895738951	0.0366347229586	0.00794361689444	0.029616174825
e	0.0995880277647	0.353872166885	0.346889203581	0.116010181312	0.044247658382	0.00923642347442	0.0301563497608
b	0.0460951162976	0.213498541762	0.380845589794	0.152226826537	0.0938189310669	0.0862263147419	0.0272886915708
o	0.0336771709145	0.142742186061	0.341421131198	0.207327745052	0.128700795021	0.114141281957	0.0319896987427
t	0.033499002604	0.1156383482	0.310203378866	0.211147321737	0.191900056071	0.0958176546955	0.0417942352519
t	0.0388989811051	0.0656576347067	0.248265087089	0.182663085979	0.318365021463	0.0950508540365	0.0510993354596
ì	0.0432057618984	0.057178229498	0.215214697076	0.192533885326	0.335749834721	0.101001745886	0.0551158552515
g	0.0315957990635	0.0500723772551	0.168570698339	0.237905169909	0.246174486416	0.205101970194	0.0605795117778
l	0.0598736112685	0.041479414589	0.1459898316	0.262023184636	0.198793630847	0.223616593803	0.0682237461926
i	0.0657155306823	0.0351414997114	0.106430074987	0.194173998862	0.272302323416	0.204472821734	0.121763748854
e	0.0259863844212	0.0227946453199	0.0695481466395	0.200299244477	0.264935262739	0.257218789365	0.159217513207
ì	0.0220949744539	0.0212403973124	0.0485320806016	0.308307356754	0.171118346513	0.307944638828	0.120762186416
s	0.0287093170971	0.0202744081789	0.0300161826417	0.286385004019	0.142241061038	0.405414130809	0.0869598724046
e	0.0212401156382	0.014305684051	0.0216704466274	0.154843564666	0.193450860406	0.421291374336	0.173197922895
g	0.00889342524212	0.00867874204994	0.016926712186	0.0863439747351	0.194691371429	0.492253391379	0.192212357838
l	0.0718280221975	0.0139606794128	0.0171879770747	0.0640152844117	0.171352190043	0.50172016446	0.159935673313
a	0.0924704172255	0.0148879399037	0.0137410519838	0.0349152701986	0.194536034814	0.31972089082	0.329728387971
m	0.034633771611	0.00861161783533	0.0107002337462	0.0296175247731	0.145047050851	0.412591993607	0.358797812124
m	0.0792146379041	0.0196511253801	0.0147081513449	0.028050980531	0.165451792097	0.454553444536	0.238369881724
è	0.0907693182537	0.020233643085	0.0107672069112	0.016074322642	0.203137919518	0.378070563512	0.28094703559
n	0.039457425323	0.00993161331436	0.00978094849586	0.0182831791647	0.143964379911	0.512432777837	0.26614967599
a	0.0233215634106	0.00686101159695	0.00943895425581	0.0162416076692	0.117073629944	0.441053591146	0.38600963479
d	0.0119848595136	0.00339924281048	0.00473421155946	0.0103158584231	0.0812302379687	0.445458562249	0.442877011663
è	0.00728416090678	0.00160153681629	0.00275845597975	0.00854714723189	0.0411653357162	0.595437369416	0.343205969954
k	0.00625358350949	0.00160668339182	0.00240143322228	0.00853875794222	0.0408314320754	0.657352620472	0.283015477985
a	0.00620218758078	0.0018694490229	0.00238333932365	0.00804349613196	0.0454146038721	0.546985403091	0.389101520662
</S>	0.00410544950316	0.00145645457949	0.00153759523802	0.00562611398321	0.0463588746915	0.350758270945	0.590157239331
