 	lo	sentii	che	viene	</S>
t	0.605773157225	0.157179618609	0.0460225633829	0.0346585854851	0.156366097632
o	0.460026272714	0.339495974636	0.113488035824	0.032171602575	0.0548181202302
n	0.294811738211	0.340142903725	0.268730625728	0.0750946492082	0.0212200789743
ì	0.1734925266	0.369186677422	0.356369108676	0.0902962675173	0.0106554363892
k	0.148925070063	0.431432150541	0.321160359539	0.076428139445	0.0220542950975
u	0.227311722291	0.38030422738	0.28410805176	0.075909850508	0.0323661470474
s	0.185625436554	0.343659797593	0.375674382387	0.065747659173	0.029292727604
a	0.0792316849304	0.28859973084	0.522967896129	0.077870250971	0.0313304384287
n	0.0325985392839	0.205386174523	0.51824903471	0.178999836624	0.0647663992802
a	0.0311314652288	0.0955300501532	0.450797870237	0.322423532875	0.100117057127
r	0.0389007367118	0.0568663259499	0.315700286679	0.488498165625	0.100034482842
t	0.0754772633066	0.03408621801	0.200592118893	0.535949857875	0.153894553336
i	0.0796289482072	0.0208162055317	0.139680113024	0.355286835158	0.404587889967
</S>	0.0441428078011	0.0120425647984	0.087115405502	0.258674018379	0.598025177983
