 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest	anno	che	viene	per	medico	</S>
a	0.600457363855	0.162873422684	0.02391298443	0.007586158484	0.00351755482519	0.00562902965083	0.0312420042924	0.00705620234376	0.00415235329849	0.00500197638392	0.00521288881559	0.0067810649	0.00524345192331	0.0110770168655	0.00985012702377	0.00508369145576	0.00547082785385	0.00256398897615	0.0130076847962	0.0285303423008	0.0557498447748
l	0.540166952218	0.285885110628	0.0308216437847	0.009996466268	0.0063233529488	0.00509863302658	0.0111555972887	0.00526882353384	0.00502084753608	0.00665220448064	0.0121617701596	0.00510208893349	0.00513417923258	0.00448407871213	0.00371819209094	0.00270596282985	0.00225467507368	0.00138403149456	0.00788957407754	0.0162215582526	0.0325542527414
l	0.524926008339	0.260179645723	0.0382981626496	0.0210618628333	0.00866753416235	0.00682732375614	0.0049156992566	0.00727072233278	0.0100622599932	0.0146465730772	0.0268677528546	0.0125976597903	0.0101167312549	0.00533512302166	0.00208196530471	0.00211233333628	0.00159904216635	0.00105123837392	0.00436646944205	0.0121127871228	0.024903110373
ò	0.593960670086	0.214829106821	0.0566440883445	0.0321593557811	0.0054622223793	0.00434666975096	0.00210794996952	0.00514468606153	0.00829001952903	0.0124138442417	0.0213812717667	0.0123138724085	0.00841021734546	0.00486999100269	0.00110346188528	0.000903743428065	0.000950075723747	0.000419311616124	0.00155518897319	0.00406815452829	0.00866612687081
r	0.443448581135	0.227328083607	0.0604691121748	0.0799356028037	0.0380606447212	0.0116572446992	0.00529572221371	0.00658307533587	0.0102118577695	0.00860384627384	0.0131791447188	0.00783301192512	0.00553273542723	0.00328403058493	0.00112611959999	0.00110909469201	0.000859416295863	0.000517302976681	0.0124154956584	0.0111677402826	0.0513821626782
a	0.284001509512	0.236479759402	0.153262604218	0.104206576108	0.0523667030291	0.0147339093277	0.00645855122087	0.00716232384622	0.0108661594913	0.00733208731196	0.010512664279	0.00635042373037	0.00459109459932	0.00276063813084	0.00113594190453	0.00118252495473	0.000830695060217	0.000550493549992	0.0160517680955	0.0135529942772	0.0656105936937
e	0.182007943356	0.276000406201	0.352611167139	0.082630816176	0.0247754047736	0.0113681050822	0.00232814601257	0.00484738303234	0.00759753340524	0.00375417964709	0.0092462669178	0.0029984740294	0.00273362575195	0.000973980192309	0.000420975664394	0.000407483618369	0.000292015200198	0.000207712739753	0.00696502009207	0.00544598694553	0.0223873915994
v	0.073878513682	0.316425714	0.376841043493	0.0699370575653	0.0161348529111	0.0129170731541	0.00487048889877	0.00680941120555	0.0118451634008	0.0040271794322	0.0253189660499	0.00720264968395	0.0114472944564	0.00175855831276	0.0040738848719	0.00239835339312	0.0011404865061	0.000835636769385	0.00447424693586	0.015570855999	0.0320925743216
ò	0.0329149601716	0.3317403932	0.361312525211	0.0921708768884	0.021179883615	0.0127107950518	0.00616243485944	0.00843523360312	0.0139442416395	0.00484832824846	0.0251869675682	0.00818996480025	0.0132357695817	0.00213888407899	0.00525873253094	0.0030561434572	0.00142095638069	0.00102271237228	0.00207124987721	0.0180399022229	0.0349590392514
à	0.0164934231079	0.236958757827	0.48866971507	0.123187582429	0.0338235748203	0.0251690258484	0.00797345289707	0.00815863940054	0.0104043661264	0.00455182773311	0.00881897059178	0.0037827164534	0.00467915336985	0.00115299152694	0.00178358546956	0.00102610250107	0.00064746973675	0.000523034082431	0.00436372479617	0.0060305020907	0.0118013803911
