 	i	bambini	piccoli	non	si	vestono	da	soli	</S>
t	0.391840857691	0.248188445834	0.0288999661504	0.08555275611	0.0691268870515	0.0147619553971	0.00869285862548	0.0105008160281	0.142435456965
a	0.42650841153	0.288929992278	0.0364676368465	0.0996275986767	0.0739171193425	0.0094481243083	0.0048227024928	0.00540949627148	0.0548689356041
p	0.382400430591	0.218708708178	0.0853492992265	0.135610173942	0.0864527419028	0.00968995268083	0.0200951215413	0.0195341362287	0.0421594565491
e	0.281199453194	0.249604622535	0.139609706876	0.152294429115	0.0855447344265	0.00687585644427	0.0243998796791	0.0241733917673	0.0362979318574
d	0.195175170493	0.336983833184	0.210651402539	0.0978806943883	0.0758811385832	0.00523804648275	0.0328869152256	0.0257781771679	0.0195246082228
ì	0.11273240696	0.24622817147	0.43046824176	0.0792576065994	0.0507683190981	0.00463515927998	0.0358674929414	0.0263106996163	0.0137318783947
a	0.0547750570477	0.13628981876	0.547146109253	0.149637809733	0.0755963311967	0.00619686545573	0.0146730405557	0.010076221768	0.00560873645906
m	0.0487479677143	0.104224153625	0.440117067084	0.198144653111	0.130057399132	0.0145414968499	0.0316242226016	0.0282219235379	0.00432112787532
i	0.0590460918005	0.10961910069	0.359856576028	0.219624890904	0.131036739244	0.04857669917	0.0359001746745	0.0331102868648	0.00322945696524
n	0.0443550792427	0.105902310184	0.326233150276	0.222835865148	0.0916740286813	0.09257979463	0.0451034084888	0.0434816909341	0.0278346759417
c	0.0897304514291	0.153322576315	0.273444764425	0.151242752029	0.0814083196604	0.0893419570767	0.0721332734309	0.0479654068462	0.0414104702338
i	0.120795029833	0.16916247142	0.252587652942	0.15663849621	0.124712039653	0.0791012968236	0.054637264557	0.0175814281193	0.0247842852799
à	0.0600731322889	0.0948473256804	0.354410954714	0.20673142627	0.145059867351	0.0834504063725	0.0340556603357	0.0073909112205	0.0139803203859
e	0.021872842882	0.0431171498456	0.356352775525	0.263420559957	0.183833844984	0.0809577913108	0.0316935439352	0.0113106126769	0.0074409013044
n	0.00866428787323	0.0224874455276	0.180893460422	0.225602522286	0.210485495461	0.194498810744	0.0628157657984	0.0578400632856	0.0367121649795
i	0.00585520325744	0.0148363289873	0.090226286434	0.162241146262	0.199517972754	0.320205402261	0.0948164186661	0.0675607921405	0.0447404535395
n	0.00468622395782	0.01189115399	0.0562218093013	0.126233551427	0.166659680451	0.38680567694	0.087136272422	0.0910085955722	0.0693570334095
d	0.0159620854993	0.0608360148388	0.0598514535904	0.050629296649	0.100646446237	0.381633004647	0.133250044941	0.105087725397	0.0921039341812
ì	0.0201980508232	0.0757594351543	0.12621710761	0.0396034023497	0.100759534232	0.347649288402	0.161355271514	0.0604052713723	0.0680526475917
n	0.0166560853876	0.0279230189538	0.119016020963	0.0408051529299	0.111891584277	0.341612588934	0.151917698505	0.117930338144	0.0722475207639
n	0.0829082846343	0.0159067163902	0.062626864441	0.03431896633	0.0871889798257	0.261939503311	0.214632105168	0.146103555421	0.0943750197813
u	0.0973549538343	0.0111677433126	0.073272346023	0.0431883115243	0.0771901713752	0.17435305097	0.310312777723	0.092161045627	0.120999590867
t	0.0388687375169	0.00636234601799	0.0675618380878	0.0414943086764	0.0817974658609	0.195116998243	0.345731380174	0.125520392362	0.0975465196023
t	0.0204374156648	0.00848999629393	0.0400942883247	0.0252709777995	0.0596832475028	0.256318698934	0.388710538991	0.136474782181	0.0645200521434
e	0.00960844729821	0.00798343497396	0.0312662271537	0.0191405419105	0.0502520250476	0.224150232578	0.456902324997	0.0942573730337	0.10643940061
m	0.0114522356094	0.00529473511977	0.0183852680474	0.0168336907882	0.0478017199759	0.184321389201	0.434531935932	0.167369092945	0.114009934023
a	0.0120706724878	0.00432919773943	0.0157729349886	0.0195649580377	0.0789392058983	0.173149517295	0.363440558244	0.223793751035	0.108939216494
n	0.00473923638283	0.00199422599613	0.0120083978775	0.0153969087053	0.0801457903927	0.169732471129	0.293866930081	0.312434489998	0.109681561498
i	0.00219906032303	0.0012116881965	0.00659462637806	0.0109241617726	0.0826364529202	0.16364115176	0.23456505536	0.375865627455	0.122362175033
c	0.0240996998572	0.00842993666691	0.00955782396774	0.0131319809967	0.0878121047517	0.140910592103	0.197851495587	0.390643692541	0.127562664744
h	0.0328843681532	0.0191986059172	0.0362250255092	0.0188562194882	0.0582318795799	0.146631825444	0.248216491662	0.32248116656	0.117274397381
ò	0.0126747628653	0.0148059214219	0.0395707920467	0.0166033742116	0.041084737022	0.113692074948	0.236647511314	0.307170347567	0.217750455794
t	0.0244415214952	0.00627436549819	0.0201139315927	0.0121428827334	0.0316082256304	0.071971001916	0.243583672531	0.361715548856	0.228148826131
t	0.032775992128	0.00541387489746	0.0203938932683	0.0183918888985	0.0497753247838	0.0939347341953	0.31836013391	0.232286532025	0.228667604864
o	0.0156029519595	0.00385833446947	0.014580597448	0.0143124611707	0.0394735940577	0.0758819511732	0.222459948103	0.137288753775	0.476541398308
</S>	0.00790349480399	0.00202762476021	0.00791930208607	0.00752459185606	0.0217837879945	0.0460189978137	0.130135343651	0.117039123027	0.659647721154
