 	mia	sorella	quest	anno	che	vienne	studierà	per	medico	</S>
i	0.538533767202	0.265606182274	0.011692420351	0.0109421769207	0.0090323754878	0.0217215748609	0.00457948476652	0.0019164480675	0.0267967366713	0.109178820133
a	0.432644602616	0.470343756711	0.0110529713537	0.00734002217863	0.0047837559558	0.0126837789098	0.00184051662553	0.00116216276947	0.00913620446771	0.0490122330682
d	0.283876474828	0.503567798637	0.0755611069312	0.0395286313688	0.0164451743396	0.013014983211	0.00404959480744	0.00376296604404	0.0201900172502	0.04000326013
e	0.164338912516	0.533770112612	0.13528589371	0.0700308354203	0.022735657468	0.0104539329845	0.00464809076961	0.00444078078323	0.0239791052711	0.0303166653335
r	0.100173905421	0.539465998804	0.161516444703	0.0905631303221	0.019621379282	0.00608895873477	0.00291708531008	0.00390812799208	0.0300012917166	0.0457436623211
f	0.127035987961	0.467205705268	0.177083775868	0.111617821101	0.0177997823649	0.00998791075542	0.00311339338377	0.00370158003059	0.0318191669087	0.0506348785542
ì	0.152711276854	0.480314156823	0.203419533323	0.0932765564237	0.0226424601913	0.0161204653288	0.00192504289914	0.00140390758596	0.0106562103934	0.0175303980961
m	0.103499135125	0.440571435608	0.231727103448	0.0644693817379	0.0271804114246	0.0561699411745	0.00125178379703	0.00947189367706	0.0477869433287	0.017871969354
m	0.0782446516017	0.365711730336	0.251905266956	0.0630256435126	0.0251579798022	0.0775593045705	0.00177607789998	0.0157331603671	0.0610072958764	0.0598788816148
u	0.0775707214997	0.260027485312	0.345039763652	0.128545805211	0.0420060306874	0.0477979688391	0.00190663973248	0.0107613181522	0.0220519639579	0.0642922949412
f	0.066058577107	0.142273517704	0.398558415735	0.215382129844	0.0471824151091	0.0268578791366	0.00416180640735	0.0165852286365	0.0525064752686	0.0304335564112
è	0.0334725878333	0.0769724281813	0.41802649923	0.259771864721	0.060767617103	0.0481597830989	0.00557909222005	0.0182302332366	0.0618242719002	0.0171956207611
t	0.018811339968	0.0500551382871	0.357849384677	0.311766766307	0.077372735421	0.0778314107063	0.00459206044451	0.0196216132534	0.0618740698341	0.0202254734895
i	0.0163505028124	0.0445472631609	0.251613362559	0.372454984702	0.14320434934	0.0620265418554	0.00537127515728	0.0210126432676	0.0620298156537	0.0213892768393
p	0.0170045713302	0.0306455099202	0.19733731192	0.440391757567	0.165937876647	0.0399730416385	0.00769926411033	0.0358191215019	0.0490026251664	0.0161889509969
ò	0.0138100340939	0.0170516949327	0.16542522144	0.487254643122	0.119840289749	0.0362602352195	0.0142428697336	0.086711003422	0.0448756808488	0.0145283500633
r	0.0102376436892	0.0148223354869	0.136436333613	0.462632127641	0.13875090485	0.0642966532798	0.0192313438809	0.087048934492	0.0462505377084	0.0202932022308
k	0.0512749891595	0.0231742051676	0.0781926752043	0.40197487766	0.15292760855	0.143155640953	0.0223969966167	0.0495726826987	0.0499891618892	0.0273411860228
e	0.0604044502197	0.0193313907687	0.0518266844003	0.307161324133	0.22795232965	0.188662879691	0.0542454521719	0.0428230410422	0.0241528155164	0.0234396491265
t	0.0256370887398	0.0109752330562	0.0528855169486	0.248147154804	0.280099079741	0.167309072364	0.0587938096346	0.0549109701007	0.0793569102251	0.0218851660262
e	0.0135640124472	0.00682824276564	0.0654545836283	0.193148545588	0.252005864305	0.208812063388	0.0653317373889	0.0810806369602	0.097201160992	0.016573159752
e	0.00519539706787	0.00325711925625	0.0643636995147	0.0975360050227	0.197335857302	0.271383910063	0.159779946019	0.146392612733	0.043800896122	0.0109545618293
n	0.0036112998749	0.0020517549114	0.0400007196652	0.0732242651809	0.128021603023	0.280905484348	0.172481500716	0.154586989951	0.105587312088	0.0395290695372
a	0.00333657060112	0.0022669832611	0.0501087937055	0.070582908839	0.12424685493	0.282133750243	0.133896297459	0.15989608123	0.123474415469	0.0500573539297
s	0.00445515566186	0.00330026289692	0.0608345002568	0.0579217360717	0.12362387989	0.268222919048	0.131691368693	0.17592073679	0.13250621615	0.0415232419899
t	0.0311104495434	0.00470199127435	0.0360904657609	0.0476141461772	0.0914845806767	0.283430459583	0.130311508591	0.138669735463	0.15916789385	0.0774187819923
u	0.0372229694005	0.00367875932295	0.0216383584849	0.0309661761284	0.0668966035389	0.289763239328	0.182772113084	0.163253273688	0.103679220443	0.10012928145
d	0.0163015960124	0.00261874152577	0.0481485651712	0.0388835910275	0.0550362447063	0.201996052769	0.195649063341	0.194065514563	0.136709556574	0.110591068846
i	0.0094142711424	0.00238267997586	0.0619176319853	0.0439434387898	0.0509168618954	0.14772203485	0.22012256476	0.208812643388	0.156382596658	0.098385283578
è	0.0034477624238	0.00123025662896	0.032492551513	0.0282786884955	0.0371099185405	0.161186855108	0.277180606173	0.287338637476	0.115189785953	0.056544948184
t	0.00478105182933	0.00326366112415	0.0177661383327	0.0231818499852	0.0364288116422	0.159990341461	0.242047859444	0.292358633639	0.170719820318	0.049461841846
s	0.0378575744069	0.00453391244783	0.0150003439398	0.0222772029515	0.0364652581541	0.182762969687	0.189405584815	0.215844995646	0.214224748439	0.0816274161187
i	0.0454394244489	0.0023820549427	0.0103499753878	0.0135345012706	0.0219287959174	0.14795795522	0.174714819405	0.251020636182	0.192781325146	0.13989051395
j	0.0346793951355	0.00289441870857	0.0177782897081	0.0152802863536	0.0178220993051	0.0750355312113	0.195317404868	0.253586154461	0.250294958382	0.13731145423
a	0.0313020215494	0.00304587249651	0.0192314476424	0.0148071922111	0.014729537035	0.0618834805171	0.196273364423	0.197533441687	0.324928172794	0.136265455657
m	0.0247338266234	0.00346620076523	0.00990149891679	0.0103555278322	0.0112262586983	0.056408200239	0.166861184701	0.186839774096	0.372601602265	0.157605915339
è	0.0222048804737	0.0034938028024	0.00635332640435	0.0073360897064	0.00601503115497	0.0361663213496	0.168717839927	0.192287586365	0.415820424755	0.141604703166
d	0.0140175492459	0.0017806912417	0.00799008692042	0.0130446109763	0.00541548065652	0.0459750534398	0.192952749642	0.159042498988	0.450073967318	0.109707331255
i	0.0115577405696	0.00126282331027	0.00779606093474	0.0138450300882	0.00649771977397	0.0560953885553	0.168144891581	0.104942604549	0.429744944839	0.200112817752
k	0.0119896391323	0.00154843876448	0.00381028866547	0.00658700587043	0.00559716051046	0.0428443914838	0.126030920114	0.117271144376	0.455883280946	0.228437747151
o	0.012641013552	0.00178155609977	0.00416222786968	0.00630671810374	0.00544298467335	0.0351838529156	0.102916180745	0.120038771525	0.483288804582	0.228237898284
</S>	0.00751833794652	0.00120165112879	0.0051408878536	0.00718567631402	0.00594639228148	0.0258880271243	0.0810482838025	0.100539744102	0.441542591691	0.323988411142
